id,title,authors,year,venue,database,doi,url,v1_decision,v1_reason,reviewer
GS001,Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models,"J Walczak, P Tomalak, A Laskowski",2026,Journal of Systems and Software,Google Scholar,10.1016/j.jss.2026.112834,https://www.sciencedirect.com/science/article/pii/S0164121226000683,INCLUDE,"Đáp ứng IC3, IC4, IC5: nghiên cứu LLM sinh unit test, có branch coverage, mutation score và so sánh với practitioner baseline.",Reviewer 1
GS004,Unit test generation using generative AI: A comparative performance analysis of autogeneration tools,"S Bhatia, T Gandhi, D Kumar, P Jalote",2024,... on Large Language Models for ...,Google Scholar,10.1145/3643795.3648396,https://dl.acm.org/doi/abs/10.1145/3643795.3648396,INCLUDE,"Đáp ứng IC3, IC4: phân tích thực nghiệm các công cụ generative AI/LLM cho unit test generation.",Reviewer 1
GS008,Leveraging large language models for enhancing the understandability of generated unit tests,"A Deljouyi, R Koohestani, M Izadi...",2025,2025 IEEE/ACM 47th ...,Google Scholar,10.1109/icse55347.2025.00032,https://ieeexplore.ieee.org/abstract/document/11029767/,EXCLUDE,"EC4: trọng tâm là cải thiện/giải thích độ dễ hiểu của generated unit tests, không trực tiếp nghiên cứu LLM sinh unit test theo metric chính.",Reviewer 1
GS011,Testart: Improving llm-based unit testing via co-evolution of automated generation and repair iteration,"S Gu, Q Zhang, K Li, C Fang, F Tian, L Zhu...",2024,arXiv preprint arXiv ...,Google Scholar,10.48550/arXiv.2408.03095,https://arxiv.org/abs/2408.03095,INCLUDE,"Đáp ứng IC3, IC4: TestART cải thiện LLM-based unit testing bằng vòng lặp generation và repair.",Reviewer 1
GS014,No more manual tests? evaluating and improving chatgpt for unit test generation,"Z Yuan, Y Lou, M Liu, S Ding, K Wang, Y Chen...",2023,arXiv preprint arXiv ...,Google Scholar,10.48550/arXiv.2305.04207,https://arxiv.org/abs/2305.04207,EXCLUDE,EC1: bản preprint/trùng nội dung với bài chính thức Evaluating and Improving ChatGPT for Unit Test Generation đã có trong ACM008.,Reviewer 1
GS016,Large language models for unit testing: A systematic literature review,"Q Zhang, C Fang, S Gu, Y Shang, Z Chen...",2025,arXiv preprint arXiv ...,Google Scholar,10.48550/arXiv.2506.15227,https://arxiv.org/abs/2506.15227,EXCLUDE,"EC5/IC4: systematic literature review, không phải nghiên cứu thực nghiệm gốc.",Reviewer 1
GS017,Chatgpt vs sbst: A comparative assessment of unit test suite generation,"Y Tang, Z Liu, Z Zhou, X Luo",2024,IEEE Transactions on Software ...,Google Scholar,10.1109/tse.2024.3382365,https://ieeexplore.ieee.org/abstract/document/10485640/,INCLUDE,"Đáp ứng IC3, IC4, IC5: so sánh ChatGPT và SBST cho unit test suite generation.",Reviewer 1
GS018,A Review of Large Language Models for Automated Test Case Generation,"A Celik, QH Mahmoud",2025,Machine Learning and Knowledge Extraction,Google Scholar,10.3390/make7030097,https://www.mdpi.com/2504-4990/7/3/97,EXCLUDE,"EC5/IC4: review về automated test case generation, không phải nghiên cứu thực nghiệm gốc.",Reviewer 1
GS019,Generate High-Coverage Unit Test Data Using the LLM Tool,"QC Nguyen, TBN Do",2024,N/A,Google Scholar,10.35940/ijitee.l9996.13121124,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5024683,INCLUDE,"Đáp ứng IC3, IC5: sinh dữ liệu unit test coverage cao bằng công cụ LLM.",Reviewer 1
GS020,Testeval: Benchmarking large language models for test case generation,"W Wang, C Yang, Z Wang, Y Huang...",2025,Findings of the ...,Google Scholar,10.18653/v1/2025.findings-naacl.197,https://aclanthology.org/2025.findings-naacl.197/,UNSURE,Liên quan benchmark LLM cho test case generation nhưng chưa rõ có tập trung unit test Java/Python và metric coverage/mutation không.,Reviewer 1
GS022,Using large language models to generate junit tests: An empirical study,"ML Siddiq, JC Da Silva Santos, RH Tanvir...",2024,Proceedings of the 28th ...,Google Scholar,10.1145/3661167.3661216,https://dl.acm.org/doi/abs/10.1145/3661167.3661216,INCLUDE,"Đáp ứng IC3, IC4, IC6: nghiên cứu thực nghiệm dùng LLM sinh JUnit tests.",Reviewer 1
GS024,Unit test generation using large language models: A systematic literature review,"DM Zapkus, A Slotkienė",2024,"... ir IT tyrimai: konferencijos darbai, 2024 ...",Google Scholar,10.15388/lmitt.2024.20,https://epublications.vu.lt/object/elaba:198450771/,EXCLUDE,"EC5/IC4: systematic literature review, không phải nghiên cứu thực nghiệm gốc.",Reviewer 1
GS025,Unit test generation using large language models for unity game development,"C Paduraru, A Stefanescu, A Jianu",2024,Proceedings of the 1st ACM ...,Google Scholar,10.1145/3663532.3664466,https://dl.acm.org/doi/abs/10.1145/3663532.3664466,EXCLUDE,"EC6: tập trung Unity game development, không phù hợp phạm vi Java/Python functions của nghiên cứu.",Reviewer 1
GS026,AgoneTest: Automated creation and assessment of Unit tests leveraging Large Language Models,"A Lops, F Narducci, A Ragone, M Trizio",2024,... Conference on Automated ...,Google Scholar,10.1145/3691620.3695318,https://dl.acm.org/doi/abs/10.1145/3691620.3695318,INCLUDE,"Đáp ứng IC3, IC4: AgoneTest sinh và đánh giá unit tests bằng LLM; giữ lại để kiểm tra mức trùng với SS013/IEEE005 ở vòng sau.",Reviewer 1
GS028,Harnessing large language models for automated software testing: A leap towards scalable test case generation,"S Rehan, B Al-Bander, A Al-Said Ahmad",2025,Electronics,Google Scholar,10.3390/electronics14071463,https://www.mdpi.com/2079-9292/14/7/1463,INCLUDE,"Đáp ứng IC3, IC4, IC6: tự động sinh unit test cho Java focal methods bằng LLM.",Reviewer 1
GS030,Harnessing the power of llms: Automating unit test generation for high-performance computing,"R Karanjai, A Hussain, MRI Rabin, L Xu, W Shi...",2024,arXiv preprint arXiv ...,Google Scholar,10.48550/arXiv.2407.05202,https://arxiv.org/abs/2407.05202,INCLUDE,"Đáp ứng IC3, IC4: LLM sinh unit tests cho high-performance/scientific computing; giữ lại để kiểm tra metric và ngôn ngữ.",Reviewer 1
GS031,Parameter-efficient fine-tuning of large language models for unit test generation: An empirical study,"A Storhaug, J Li",2024,arXiv preprint arXiv:2411.02462,Google Scholar,10.48550/arXiv.2411.02462,https://arxiv.org/abs/2411.02462,INCLUDE,"Đáp ứng IC3, IC4: nghiên cứu empirical về fine-tuning LLM cho unit test generation.",Reviewer 1
GS032,Exploring the capability of ChatGPT in test generation,"G Yi, Z Chen, Z Chen, WE Wong...",2023,2023 IEEE 23rd ...,Google Scholar,10.1109/qrs-c60940.2023.00013,https://ieeexplore.ieee.org/abstract/document/10429996/,UNSURE,"Có liên quan ChatGPT test generation nhưng title/abstract chưa xác nhận rõ unit test, Java/Python, hoặc metric coverage/mutation.",Reviewer 1
GS033,CubeTesterAI: Automated JUnit Test Generation Using the LLaMA Model,"D Gorla, S Kumar, PNR Lorenzini...",2025,... on Software Testing ...,Google Scholar,10.1109/icst62969.2025.10988978,https://ieeexplore.ieee.org/abstract/document/10988978/,INCLUDE,"Đáp ứng IC3, IC6: sinh JUnit tests tự động bằng LLaMA cho Java applications.",Reviewer 1
GS035,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria...",2025,... of Software Test (AST),Google Scholar,10.1109/ast66626.2025.00007,https://ieeexplore.ieee.org/abstract/document/11081451/,EXCLUDE,"EC3: tập trung acceptance test generation, không phải unit test generation.",Reviewer 1
GS036,Reinforcement learning from automatic feedback for high-quality unit test generation,"B Steenhoek, M Tufano, N Sundaresan...",2025,... Testing and Testing ...,Google Scholar,10.1109/deeptest66595.2025.00011,https://ieeexplore.ieee.org/abstract/document/11026897/,INCLUDE,"Đáp ứng IC3, IC4: reinforcement learning từ feedback tự động cho high-quality unit test generation.",Reviewer 1
GS037,Automated test case generation from software requirements using ChatGPT: A comparison of generative methods in black-box unit testing,"A Andersson, A Malmeling",2024,N/A,Google Scholar,,https://www.diva-portal.org/smash/get/diva2:1917788/FULLTEXT01.pdf,INCLUDE,"Đáp ứng IC3, IC4: sinh black-box unit test từ requirements bằng ChatGPT; giữ lại để kiểm tra metric ở vòng full-text.",Reviewer 1
GS038,Java unit testing with ai: An ai-driven prototype for unit test generation,"K Kahur, J Su",2023,N/A,Google Scholar,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778114,UNSURE,Liên quan Java unit testing bằng AI nhưng có vẻ prototype; chưa rõ có thực nghiệm/metric đủ mạnh.,Reviewer 1
GS040,Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study,A Lundberg,2024,N/A,Google Scholar,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1884076,EXCLUDE,"EC6: dùng Google Test framework, nhiều khả năng tập trung C/C++ industrial case, ngoài phạm vi Java/Python.",Reviewer 1
GS041,"Software testing with large language models: Survey, landscape, and vision","J Wang, Y Huang, C Chen, Z Liu...",2024,... on Software ...,Google Scholar,10.1109/tse.2024.3368208,https://ieeexplore.ieee.org/abstract/document/10440574/,EXCLUDE,"EC5/IC4: survey/landscape/vision về software testing với LLM, không phải nghiên cứu thực nghiệm gốc.",Reviewer 1
GS043,Mutation-based consistency testing for evaluating the code understanding capability of llms,"Z Li, D Shin",2024,... on AI Engineering-Software Engineering for AI,Google Scholar,10.1145/3644815.3644946,https://dl.acm.org/doi/abs/10.1145/3644815.3644946,EXCLUDE,"EC4: mutation-based consistency testing để đánh giá code understanding của LLM, không phải unit test generation.",Reviewer 1
