id,title,authors,year,venue,database,search_string,doi,url,source,type,openalex_id
GS001,An initial investigation of ChatGPT unit test generation capability,"V Guilherme, A Vincenzi",2023,Proceedings of the 8th Brazilian Symposium …,Google Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/abs/10.1145/3624032.3624035,dl.acm.org,ARTICLE,https://openalex.org/W4387711873
GS002,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"J Zhang, X Hu, C Gao, X Xia, S Li",2026,ACM Transactions on Software …,Google Scholar,String A,10.1145/3802827,https://dl.acm.org/doi/abs/10.1145/3802827,dl.acm.org,ARTICLE,https://openalex.org/W7140887005
GS003,Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study,A Lundberg,2024,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1884076,diva-portal.org,ARTICLE,
GS004,Automated Unit Test Generation and Improvement with Large Language Models (LLMs)/submitted by Florian Stifter,F Stifter,2024,,Google Scholar,String A,,https://epub.jku.at/obvulihs/content/titleinfo/11324135,epub.jku.at,ARTICLE,
GS005,Mutation-Guided Unit Test Generation With a Large Language Model,"G Wang, Q Xu, L Briand, K Liu",2026,IEEE Transactions on Software …,Google Scholar,String A,10.1109/tse.2026.3682975,https://ieeexplore.ieee.org/abstract/document/11478734/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W7153155872
GS006,An LLM-based framework for automated Python test generation and mutation testing evaluation,"S Nafis, AA Walid, AS Anuja",2025,,Google Scholar,String A,,https://dspace.bracu.ac.bd/xmlui/handle/10361/26750,dspace.bracu.ac.bd,ARTICLE,
GS007,Exploring Test Suite Coverage of Large Language Model–Enhanced Unit Test Generation,A Dragoi,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_51e9ae71-24e0-4eed-be48-0b7728d17d71,repository.tudelft.nl,PDF,
GS008,"Unit test generation with GitHub Copilot, A Case Study",S Humalajoki,2024,,Google Scholar,String A,,https://www.utupub.fi/bitstream/handle/10024/178695/Humalajoki_Sami_opinnayte.pdf?sequence=1,utupub.fi,PDF,
GS009,Using Large Language Models to Generate JUnit Tests: An Empirical Study,"ML Siddiq, JC Da Silva Santos, RH Tanvir…",2024,Proceedings of the 28th …,Google Scholar,String A,10.1145/3661167.3661216,https://dl.acm.org/doi/abs/10.1145/3661167.3661216,dl.acm.org,ARTICLE,https://openalex.org/W4399668074
GS010,Evaluating and Improving ChatGPT for Unit Test Generation,"Z Yuan, M Liu, S Ding, K Wang, Y Chen…",2024,Proceedings of the …,Google Scholar,String A,10.1145/3660783,https://dl.acm.org/doi/abs/10.1145/3660783,dl.acm.org,ARTICLE,https://openalex.org/W4400582690
GS011,Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools,"S Bhatia, T Gandhi, D Kumar, P Jalote",2024,Proceedings of the 1st …,Google Scholar,String A,10.1145/3643795.3648396,https://dl.acm.org/doi/abs/10.1145/3643795.3648396,dl.acm.org,ARTICLE,https://openalex.org/W4402410897
GS012,"Large Language Models for Unit Test Generation: Achievements, Challenges, and Opportunities","B Chu, Y Feng, K Liu, Z Guo, Y Zhang, H Shi…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2511.21382,https://arxiv.org/abs/2511.21382,arxiv.org,ARTICLE,https://openalex.org/W4416789414
GS013,On the Evaluation of Large Language Models in Unit Test Generation,"L Yang, C Yang, S Gao, W Wang, B Wang…",2024,Proceedings of the 39th …,Google Scholar,String A,10.1145/3691620.3695529,https://dl.acm.org/doi/abs/10.1145/3691620.3695529,dl.acm.org,ARTICLE,https://openalex.org/W4403536268
GS014,Enhancing Unit Tests using ChatGPT-3.5,S Creasta,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_34529e7c-0262-464a-9d32-96c3a2a17e7c,repository.tudelft.nl,PDF,
GS015,evoLLve'M: Improving JUnit Test Assertions and Mutation Score Using ChatGPT-4o and EvoSuite,A Turhan,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_e03e250e-b21e-4a1c-abbb-7662b6f4afd5,repository.tudelft.nl,PDF,
GS016,Large Language Models for Unit Testing: A Systematic Literature Review,"Q Zhang, C Fang, S Gu, Y Shang, Z Chen…",2025,arXiv preprint arXiv …,Google Scholar,String A,10.48550/arxiv.2506.15227,https://arxiv.org/abs/2506.15227,arxiv.org,ARTICLE,https://openalex.org/W4415333602
GS017,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"D Huang, JM Zhang, M Harman, Q Zhang…",2026,ACM Transactions on …,Google Scholar,String A,10.1145/3805043,https://dl.acm.org/doi/abs/10.1145/3805043,dl.acm.org,ARTICLE,https://openalex.org/W7141844560
GS018,Domain Adaptation for Code Model-Based Unit Test Case Generation,"J Shin, S Hashtroudi, H Hemmati, S Wang",2024,Proceedings of the 33rd …,Google Scholar,String A,10.1145/3650212.3680354,https://dl.acm.org/doi/abs/10.1145/3650212.3680354,dl.acm.org,ARTICLE,https://openalex.org/W4402457261
