id,title,authors,year,venue,database,search_string,doi,url,v1_decision,v1_reason
OA001,An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation,"Max Schäfer, Sarah Nadi, Aryaz Eghbali, Frank Tip",2023,IEEE Transactions on Software Engineering,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1109/tse.2023.3334955,https://doi.org/10.1109/tse.2023.3334955,EXCLUDE,"EC6 - Đánh giá độc quyền trên JavaScript/npm packages, vi phạm đối tượng kiểm thử Java/Python của IC6."
OA002,Effective test generation using pre-trained Large Language Models and mutation testing,"Arghavan Moradi Dakhel, Amin Nikanjam, Vahid Majdinasab, Foutse Khomh, Michel C. Desmarais",2024,Information and Software Technology,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1016/j.infsof.2024.107468,https://doi.org/10.1016/j.infsof.2024.107468,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA003,Enriching automatic test case generation by extracting relevant test inputs from bug reports,"Wendkûuni C. Ouédraogo, Laura Plein, Kader Kaboré, Andrew Habib, Jacques Klein, David Lo, Tegawendé F. Bissyandé",2025,Empirical Software Engineering,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1007/s10664-025-10635-z,https://doi.org/10.1007/s10664-025-10635-z,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA004,STRUT: Structured Seed Case Guided Unit Test Generation for C Programs using LLMs,"Jinwei Liu, Li Chao, Rui Chen, Shaofeng Li, Bin Gu, Mengfei Yang",2025,Proceedings of the ACM on software engineering.,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3728970,https://doi.org/10.1145/3728970,EXCLUDE,"EC6 - Nghiên cứu đánh giá trên ngôn ngữ C/C++ hoặc C#, vi phạm đối tượng kiểm thử Java/Python của IC6."
OA005,TestART: Improving LLM-based Unit Testing via Co-evolution of Automated Generation and Repair Iteration,"Siqi Gu, Quanjun Zhang, Li, Kecheng, Chunrong Fang, Fangyuan Tian, Zhu, Liuchuan, Jianyi Zhou, Zhenyu Chen",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2408.03095,https://www.semanticscholar.org/search?q=2408.03095,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA006,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Junwei Zhang, Xing Hu, Xin Xia, Shing-Chi Cheung, Shanping Li",2025,ACM Transactions on Software Engineering and Methodology,OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.1145/3745765,https://doi.org/10.1145/3745765,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA007,ASTER: Natural and Multi-language Unit Test Generation with LLMs,"Rangeet Pan, Myeong‐Soo Kim, Rahul Krishna, Raju Pavuluri, Saurabh Sinha",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2409.03093,https://doi.org/10.1109/icse-seip66354.2025.00042,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
OA008,TESTEVAL: Benchmarking Large Language Models for Test Case Generation,"Wenhan Wang, Chenyuan Yang, Zhijie Wang, Yuheng Huang, Zhaoyang Chu, Da Song, Lingming Zhang, An Ran Chen, Lei Ma",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2406.04531,https://doi.org/10.18653/v1/2025.findings-naacl.197,UNSURE,Hệ thống/nền tảng kiểm thử; cần kiểm định thêm ở vòng 2 để xem có thực nghiệm kiểm thử đơn vị và các metric tương ứng không.
OA009,Parameter-Efficient Fine-Tuning of Large Language Models for Unit Test Generation: An Empirical Study,"André Storhaug, Jingyue Li",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2411.02462,https://www.semanticscholar.org/search?q=2411.02462,INCLUDE,Nghiên cứu kết hợp LLM sinh test case và mutation testing để cải thiện độ mạnh kiểm thử.
OA010,LLM-based Unit Test Generation via Property Retrieval,"Zhe Zhang, Xingyu Liu, Yuanzhang Lin, Xiang Gao, Hailong Sun, Yuan Yuan",2024,arXiv (Cornell University),OpenAlex,('large language model' OR 'LLM' OR 'GPT' OR 'ChatGPT') AND ('unit test generation' OR 'test case generation' OR 'automated unit testing') AND ('branch coverage' OR 'code coverage' OR 'mutation score' OR 'mutation testing'),https://doi.org/10.48550/arxiv.2410.13542,https://www.semanticscholar.org/search?q=2410.13542,INCLUDE,Đánh giá khả năng sinh testcase của LLM hướng tới tối ưu hóa độ bao phủ (coverage).
