id ,title,authors,year,venue,database,search string,doi,url,v1_decision,v1_reason,v2_decision,v2_reason
SS018,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"Nguyen, Steven Thanhtan; Bharath, Smita; Homayouni, Hajar",2025,2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),Semantic Scholar,String A,10.1109/ISSREW67781.2025.00081,https://ieeexplore.ieee.org/document/11262355/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",EXCLUDE,"EC5: Reports only line coverage and mutation score, without reporting branch coverage for the generated unit tests."
SS020,An initial investigation of ChatGPT unit test generation capability,"Guilherme, Vitor; Vincenzi, Auri",2023,8th Brazilian Symposium on Systematic and Automated Software Testing,Semantic Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/10.1145/3624032.3624035,UNSURE,Evaluates ChatGPT/OpenAI LLM for Java unit test generation with coverage and mutation score; GPT-4 usage unclear from abstract alone,EXCLUDE,"EC4: Evaluates only GPT-3.5-turbo (referred to as ChatGPT), without providing separate or isolated results for GPT-4."
SS050,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Lemieux, Caroline; Inala, Jeevana Priya; Lahiri, Shuvendu K.; Sen, Siddhartha",2023,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),Semantic Scholar,String A,10.1109/ICSE48619.2023.00085,https://ieeexplore.ieee.org/document/10172800/,UNSURE,Combines LLM (Codex) with SBST for Python unit test generation with coverage metrics; need full text to confirm GPT-4 usage,EXCLUDE,"EC4: Evaluates OpenAI Codex (code-davinci-002) and CodeGen, without evaluating or providing isolated results for the GPT-4 family."
SS056,CoverUp: Effective High Coverage Test Generation for Python,"Altmayer Pizzorno, Juan; Berger, Emery D.",2025,Proceedings of the ACM on Software Engineering,Semantic Scholar,String A,10.1145/3729398,https://dl.acm.org/doi/10.1145/3729398,UNSURE,Generates LLM-driven Python unit tests with branch coverage feedback; need full text to confirm GPT-4 usage and mutation score reporting,EXCLUDE,"EC5: Focuses entirely on improving line and branch coverage, without reporting mutation scores or mutation testing metrics for the generated tests."
SS066,Do LLMs Generate Useful Test Oracles? An Empirical Study with an Unbiased Dataset,"Molinelli, Davide; Grazia, Luca Di; Martin-Lopez, Alberto; Ernst, Michael D.; Pezzè, Mauro",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00031,https://ieeexplore.ieee.org/document/11334509/,UNSURE,Evaluates LLM-generated test oracles for Java with coverage metrics; need full text to confirm GPT-4 usage and mutation score reporting,EXCLUDE,"EC4: Evaluates open-weights models from Llama, Phi, and Qwen families, without evaluating or providing isolated results for the GPT-4 family."
SS075,Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,"Elhayany, Mohamed; Meinel, Christoph",2025,2025 IEEE Global Engineering Education Conference (EDUCON),Semantic Scholar,String A,10.1109/EDUCON62633.2025.11016616,https://ieeexplore.ieee.org/document/11016616/,INCLUDE,"Fit all inclusion criterias, no exclusion criterias apply",EXCLUDE,"EC5: Focuses on tool usability and qualitative feedback from educators, without reporting branch coverage or mutation scores for the generated tests."
SS081,Evaluating the Effectiveness and Cost-Efficiency of Large Language Models in Automated Unit Test Generation,"Lira, Werney Ayala Luz; SantosNeto, Pedro De Alcântara Dos; Avelino, Guilherme Amaral; Osório, Luiz Fernando Mendes",2025,Anais do XXIV Simpósio Brasileiro de Qualidade de Software (SBQS 2025),Semantic Scholar,String A,10.5753/sbqs.2025.13853,https://sol.sbc.org.br/index.php/sbqs/article/view/39000,UNSURE,Evaluates LLMs for unit test generation with branch coverage and cost; need full text to confirm GPT-4 usage and mutation score reporting,EXCLUDE,"EC5: Reports only line/branch coverage, hit rate, and cost, without reporting mutation scores or mutation testing metrics."
SS158,Multi-Agent Assisted Automatic Test Generation for Java JSON Libraries,"Wang, Sinan; Zhong, Zhiyuan; Wen, Shaojin; Liu, Yepang",2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),Semantic Scholar,String A,10.1109/APSEC66846.2025.00064,https://ieeexplore.ieee.org/document/11396608/,UNSURE,Multi-agent LLM framework for Java library unit test generation; need full text to confirm GPT-4 usage and branch coverage/mutation score reporting,EXCLUDE,"EC5: Reports instruction coverage and bug detection, without reporting branch coverage or mutation scores for the generated test suites."
SS178,Navigating the Labyrinth: Path-Sensitive Unit Test Generation with Large Language Models,"Liao, Dianshu; Yin, Xin; Pan, Shidong; Ni, Chao; Xing, Zhenchang; Sun, Xiaoyu",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),Semantic Scholar,String A,10.1109/ASE63991.2025.00063,https://ieeexplore.ieee.org/document/11334655/,UNSURE,Path-sensitive LLM unit test generation for Java with coverage metrics; need full text to confirm GPT-4 usage and mutation score reporting,EXCLUDE,"EC5: Reports only line and branch coverage, without reporting mutation scores or mutation testing metrics."
SS225,TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance,"Bruches, Elena; Alperovich, Vadim; Baturova, Dari; Derunets, Roman; Grebenkin, Daniil; Mkrtchyan, Georgy; Sedukhin, Oleg; Klementev, Mikhail; Bondarenko, Ivan; Bushkov, Nikolay; Moiseev, Stanislav",2026,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C)",Semantic Scholar,String A,10.1109/SANER-C67878.2026.00057,https://ieeexplore.ieee.org/document/11500203/,UNSURE,"Evaluates LLMs for unit test maintenance (creation, repair, update) in Python and Java; need full text to confirm GPT-4 usage and branch coverage/mutation score metrics",EXCLUDE,"EC3: Focuses on test maintenance (creation, repair, updating) at the test file level rather than function-level unit test case generation."
