id,title,authors,year,venue,database,search_string,doi,url,source,type,openalex_id,v1_decision,v1_reason,reviewer,v2_decision,v2_reason
GS001,An initial investigation of ChatGPT unit test generation capability,"V Guilherme, A Vincenzi",2023,Proceedings of the 8th Brazilian Symposium …,Google Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/abs/10.1145/3624032.3624035,dl.acm.org,ARTICLE,https://openalex.org/W4387711873,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS003,Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study,A Lundberg,2024,,Google Scholar,String A,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1884076,diva-portal.org,ARTICLE,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS004,Automated Unit Test Generation and Improvement with Large Language Models (LLMs)/submitted by Florian Stifter,F Stifter,2024,,Google Scholar,String A,,https://epub.jku.at/obvulihs/content/titleinfo/11324135,epub.jku.at,ARTICLE,,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS005,Mutation-Guided Unit Test Generation With a Large Language Model,"G Wang, Q Xu, L Briand, K Liu",2026,IEEE Transactions on Software …,Google Scholar,String A,10.1109/tse.2026.3682975,https://ieeexplore.ieee.org/abstract/document/11478734/,ieeexplore.ieee.org,ARTICLE,https://openalex.org/W7153155872,UNSURE,"Relevant to LLM-based unit testing, but V1 metadata is insufficient to confirm empirical metrics; keep for full-text check.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS006,An LLM-based framework for automated Python test generation and mutation testing evaluation,"S Nafis, AA Walid, AS Anuja",2025,,Google Scholar,String A,,https://dspace.bracu.ac.bd/xmlui/handle/10361/26750,dspace.bracu.ac.bd,ARTICLE,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS007,Exploring Test Suite Coverage of Large Language Model–Enhanced Unit Test Generation,A Dragoi,2024,,Google Scholar,String A,,https://repository.tudelft.nl/file/File_51e9ae71-24e0-4eed-be48-0b7728d17d71,repository.tudelft.nl,PDF,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation with coverage/mutation/compile/pass-rate evidence to verify in full text.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS008,"Unit test generation with GitHub Copilot, A Case Study",S Humalajoki,2024,,Google Scholar,String A,,https://www.utupub.fi/bitstream/handle/10024/178695/Humalajoki_Sami_opinnayte.pdf?sequence=1,utupub.fi,PDF,,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
GS009,Using Large Language Models to Generate JUnit Tests: An Empirical Study,"ML Siddiq, JC Da Silva Santos, RH Tanvir…",2024,Proceedings of the 28th …,Google Scholar,String A,10.1145/3661167.3661216,https://dl.acm.org/doi/abs/10.1145/3661167.3661216,dl.acm.org,ARTICLE,https://openalex.org/W4399668074,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS010,Evaluating and Improving ChatGPT for Unit Test Generation,"Z Yuan, M Liu, S Ding, K Wang, Y Chen…",2024,Proceedings of the …,Google Scholar,String A,10.1145/3660783,https://dl.acm.org/doi/abs/10.1145/3660783,dl.acm.org,ARTICLE,https://openalex.org/W4400582690,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,INCLUDE,Included after V2 because the paper is a primary LLM-based unit test generation/evaluation study and provides extractable numeric evidence for the evidence table.
GS011,Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools,"S Bhatia, T Gandhi, D Kumar, P Jalote",2024,Proceedings of the 1st …,Google Scholar,String A,10.1145/3643795.3648396,https://dl.acm.org/doi/abs/10.1145/3643795.3648396,dl.acm.org,ARTICLE,https://openalex.org/W4402410897,INCLUDE,"IC3, IC4, IC5: title/metadata indicate LLM-based unit test generation/evaluation with empirical metric or evaluation signal.",Reviewer 1,EXCLUDE,Excluded at V2 for this RBL-1 pass because no concrete numeric result was extracted from available metadata/abstract; IC-E not confirmed without full-text table extraction.
