id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
ACM001,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang J, Hu X, Gao C, Xia X, Li S",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3802827,https://dl.acm.org/doi/10.1145/3802827,"Automated unit test generation is a fundamental yet challenging task in software engineering, playing a critical role in ensuring software correctness, reliability, and maintainability. While traditional approaches such as search-based software testing have been widely studied, the emergence of Large Language Models (LLMs) has opened new research directions. This paper presents a systematic literature review on LLM-based automated unit test generation, analyzing trends, techniques, evaluation metrics including coverage and mutation score, and open challenges.",
ACM002,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Dong Huang, Jie M. Zhang, Mark Harman, Qianru Zhang, Mingzhe Du, See-Kiong Ng",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3805043,https://dl.acm.org/doi/10.1145/3805043,"Recently, large language models (LLMs) have shown great promise in automating unit test generation, significantly reducing the manual effort required by developers. Existing LLM test generation benchmarks are limited by two critical drawbacks: data contamination and structurally simple function code. To address these problems, we introduce ULT (UnLeakedTestbench), a new benchmark specifically designed for function-level unit test generation from real-world Python functions, constructed through a multi-stage curation process ensuring high cyclomatic complexity and mitigating test case contamination.",
ACM003,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Zeyu Lu, Peng Zhang, Yuge Nie, Yibiao Yang, Yutian Tang, Chun Yong Chong, Yuming Zhou",2026,Proceedings of the ACM on Programming Languages (OOPSLA1),ACM Digital Library,String A,10.1145/3798251,https://dl.acm.org/doi/10.1145/3798251,"Large Language Models (LLMs) have gained significant traction in software engineering for automating tasks such as unit test generation. Most existing studies prioritize code coverage as the primary metric for enhancing test suite effectiveness. However, prior research has shown that although code coverage can reach approximately 80%, the mutation score, which generally exhibits a stronger correlation with defect detection effectiveness, attains only about 35%. This gap highlights the need to enhance test suite effectiveness guided by mutation score rather than code coverage.",
ACM004,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang B, Chen M, Deng M, Lin Y, Harman M, Papadakis M, Zhang J",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3805038,https://dl.acm.org/doi/10.1145/3805038,Comprehensive empirical study on applying large language models to mutation testing tasks; systematically evaluates LLM effectiveness in generating mutants and killing mutants compared to traditional mutation testing tools.,
ACM005,Advancing Code Coverage: Incorporating Program Analysis with Large Language Models,"Yang C, Chen J, Lin B, Wang Z, Zhou J",2026,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3748505,https://dl.acm.org/doi/10.1145/3748505,Incorporates program analysis techniques with large language models to improve branch and code coverage in automated test generation; addresses hard-to-cover branches through static analysis-guided prompting.,
ACM006,Automated Unit Test Generation via Chain of Thought Prompt and Reinforcement Learning from Coverage Feedback,"Junwei Zhang, Xing Hu, Xin Xia, Shing-Chi Cheung, Shanping Li",2025,ACM Transactions on Software Engineering and Methodology,ACM Digital Library,String A,10.1145/3745765,https://dl.acm.org/doi/10.1145/3745765,"Recently, large language models (LLMs) have shown promising results in code generation, and several automated test generation approaches based on LLMs have been proposed. Although these approaches achieve promising performance, they suffer from two limitations. This paper proposes TestCTRL, which uses chain-of-thought prompts and reinforcement learning from coverage feedback to improve LLM-based unit test generation, fine-tuning CodeLlama-7B with coverage-based rewards.",
ACM007,Automated Unit Test Improvement using Large Language Models at Meta,"Nadia Alshahwan, Jubin Chheda, Anastasia Finogenova, Beliz Gokkaya, Mark Harman, Inna Harper, Alexandru Marginean, Shubho Sengupta, Eddy Wang",2024,FSE 2024 – Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,ACM Digital Library,String A,10.1145/3663529.3663839,https://dl.acm.org/doi/10.1145/3663529.3663839,Describes Meta's TestGen-LLM tool which uses LLMs to automatically improve existing human-written unit tests. TestGen-LLM verifies that its generated test classes successfully clear a set of filters that assure measurable improvement in code coverage and test quality over the original tests.,potential duplicate with IEEE/Google Scholar
ACM008,Evaluating and Improving ChatGPT for Unit Test Generation,"Zhiqiang Yuan, Yiling Lou, Mingwei Liu, Shiji Ding, Kaixin Wang, Yixuan Chen, Xin Peng",2024,Proceedings of the ACM on Software Engineering (FSE),ACM Digital Library,String A,10.1145/3660783,https://dl.acm.org/doi/10.1145/3660783,"This paper performs an empirical study to evaluate the capability of ChatGPT in unit test generation. The study measures syntactic correctness, compilation correctness, statement coverage, branch coverage, and mutation score of ChatGPT-generated tests versus EvoSuite and other baselines on Java projects.",
ACM009,Code-Aware Prompting: A Study of Coverage-Guided Test Generation in Regression Setting using LLM,"Gabriel Ryan, Siddhartha Jain, Mingyue Shang, Shiqi Wang, Xiaofei Ma, Murali Krishna Ramanathan, Baishakhi Ray",2024,Proceedings of the ACM on Software Engineering (FSE),ACM Digital Library,String A,10.1145/3643769,https://dl.acm.org/doi/10.1145/3643769,"This paper presents SymPrompt, a code-aware prompting strategy for LLMs in test generation that deconstructs test suite generation into a multi-stage sequence driven by execution paths. The approach enables pretrained LLMs to generate more complete test cases without additional training, evaluated on open-source Python projects with significant branch coverage improvements.",
ACM010,Domain Adaptation for Code Model-Based Unit Test Case Generation,"Jiho Shin, Sepehr Hashtroudi, Hadi Hemmati, Song Wang",2024,ISSTA 2024 – 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ACM Digital Library,String A,10.1145/3650212.3680354,https://dl.acm.org/doi/10.1145/3650212.3680354,"This study leverages Transformer-based code models to generate unit tests with domain adaptation at a project level. Using CodeT5 fine-tuned on test generation and then domain-adapted to target projects, the approach improves line coverage by ~19% and mutation score by ~16% compared to CodeT5 without DA, A3Test, and GPT-4 baselines on Defects4J.",
