id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
GS001,Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models,"J Walczak, P Tomalak, A Laskowski",2026,Journal of Systems and Software,Google Scholar,String A,10.1016/j.jss.2026.112834,https://www.sciencedirect.com/science/article/pii/S0164121226000683,"- Docstring inclusion substantially improves test quality: +19.67pp branch coverage and +9.16pp compilation success compared to interface-only context, demonstrating that behavioural specifications are more critical than implementation details for effective test generation. - Sequential multi-turn prompting achieves superior fault detection (96.3% branch coverage, 57% mutation score) compared to simple prompting, though at 187% increased computational cost, revealing a significant cost-quality trade-off. - Gemini 2.5 Pro achieves 87% mutation score with full context - substantially exceeding both other LLMs and the 44% practitioner baseline - demonstrating that general-purpose LLMs can match or surpass human testers in fault detection for well-documented code. - All evaluated LLMs systematically omit robustness tests for special values ( None , inf , NaN ) - blind spots shared with human practitioners - indicating fundamental limitations in comprehensive scenario identification without explicit prompting. Generative AI is gaining increasing attention in software engineering, where testing remains an indispensable reliability mechanism. According to the widely adopted testing pyramid, unit tests constitute the majority of test cases and are often schematic, requiring minimal domain expertise. Automatically generating such tests under the supervision of software engineers can significantly enhance productivity during the development phase of the software lifecycle. This exploratory study investigates the impact of code context and prompting strategies on the quality and adequacy of unit tests generated by various large language models (LLMs) from different providers, using 12 custom-developed Python methods designed specifically to avoid data leakage concerns. The results show that including docstrings notably improves code adequacy, while further extending context to the full implementation yields smaller incremental gains. The sequential multi-turn prompting strategy achieves the best results, with up to 96.3% branch coverage, a 57% average mutation score, and near-perfect compilation success rate. Among the six evaluated models, M5 (Gemini 2.5 Pro) demonstrated superior performance in both mutation score and branch coverage, while maintaining high compilation success rates. Notably, LLM-generated tests achieved comparable or superior mutation scores compared to tests written by a software practitioner, though with varying degrees of test redundancy. While limited in scope, this study provides initial insights into optimal configurations for LLM-based test generation. All custom code developed for this study and the resulting test suites are available at https://github.com/peetery/LLM-analysis .",Selected from String A; resultIndex=0; source=Elsevier; type=HTML; cid=c2GWjhNBmxcJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Impact of code context and prompting strategies on automated unit test generation with modern general-purpose large language models
GS002,Mutation-guided unit test generation with a large language model,"G Wang, Q Xu, L Briand, K Liu",2026,IEEE Transactions on Software ...,Google Scholar,String A,10.1109/tse.2026.3682975,https://ieeexplore.ieee.org/abstract/document/11478734/,"Unit tests play a vital role in uncovering potential faults in software. While tools like EvoSuite focus on maximizing code coverage, recent advances in large language models (LLMs) have shifted attention toward LLM-based test generation. However, code coverage metrics-such as line and branch coverage-remain overly emphasized in reported research, despite being weak indicators of a test suite's fault-detection capability. In contrast, mutation score offers a more reliable and stringent measure, as demonstrated in our findings where some test suites achieve 100% coverage but only 4% mutation score. Although a few studies consider mutation score, the effectiveness of LLMs in killing mutants remains underexplored. In this paper, we propose MUTGEN, a mutation-guided, LLM-based test generation approach that incorporates mutation feedback directly into the prompt. Evaluated on 204 subjects from two benchmarks, MUTGEN significantly outperforms both EvoSuite and vanilla prompt-based strategies in terms of mutation score. Furthermore, MUTGEN introduces an iterative generation mechanism that pushes the limits of LLMs in killing additional mutants. Our study also provides insights into the limitations of LLM-based generation, analyzing the reasons for live and uncovered mutants, and the impact of different mutation operators on generation effectiveness.",Selected from String A; resultIndex=1; source=ieeexplore.ieee.org; type=ARTICLE; cid=LBDax0PB22YJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Mutation-Guided Unit Test Generation With a Large Language Model
GS003,Evaluating the effectiveness of large language models in automated unit test generation,"T Godage, S Nimishan...",2025,2025 5th ...,Google Scholar,String A,10.1109/icarc64760.2025.10962997,https://ieeexplore.ieee.org/abstract/document/10962997/,"The increasing use of Artificial Intelligence (AI) in software development underscores the need to select suitable Large Language Models (LLMs) for automating software unit test generation. No prior work has been conducted to evaluate the performance of LLM in this domain. To address this gap, this study evaluates the effectiveness of four prominent LLMs-GPT-4, Claude 3.5, Command-R-08-2024 and Llama 3.1-in generating unit test cases. This study particularly aims to evaluate the performance of these models in real-world testing scenarios. Hence, 106 test cases from 23 test suites based on interviews with software experts and QA engineers are used to ensure relevance and comprehensiveness. These test cases are analyzed using JavaScript Engines Specification Tester (JEST) for code coverage and Stryker for mutation testing while adopting both quantitative and qualitative analysis. The findings reveal that Claude 3.5 consistently outperforms the other models against test success rate, statement coverage, and mutation score with the achieved accuracy of 93.33%, 98.01%, and 89.23% respectively. The results also provide insights into the capabilities of LLMs for automated unit test generation and their integration into the continuous software integration pipeline. Further, the findings authenticated the importance of systematically comparing LLMs for test case generation.",Selected from String A; resultIndex=2; source=ieeexplore.ieee.org; type=ARTICLE; cid=0daplJ86vPUJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation
GS004,Unit test generation using generative AI: A comparative performance analysis of autogeneration tools,"S Bhatia, T Gandhi, D Kumar, P Jalote",2024,... on Large Language Models for ...,Google Scholar,String A,10.1145/3643795.3648396,https://dl.acm.org/doi/abs/10.1145/3643795.3648396,"Generating unit tests is a crucial task in software development, demanding substantial time and effort from programmers. The advent of Large Language Models (LLMs) introduces a novel avenue for unit test script generation. This research aims to experimentally investigate the effectiveness of LLMs, specifically exemplified by ChatGPT, for generating unit test scripts for Python programs, and how the generated test cases compare with those generated by an existing unit test generator (Pynguin). For experiments, we consider three types of code units: 1) Procedural scripts, 2) Function-based modular code, and 3) Class-based code. The generated test cases are evaluated based on criteria such as coverage, correctness, and readability. Our results show that ChatGPT's performance is comparable with Pynguin in terms of coverage, though for some cases its performance is superior to Pynguin. We also find that about a third of assertions generated by ChatGPT for some categories were incorrect. Our results also show that there is minimal overlap in missed statements between ChatGPT and Pynguin, thus, suggesting that a combination of both tools may enhance unit test generation performance. Finally, in our experiments, prompt engineering improved ChatGPT's performance, achieving a much higher coverage.*These authors contributed equally.",Selected from String A; resultIndex=3; source=dl.acm.org; type=ARTICLE; cid=NR8sE_sIDUIJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools
GS005,An initial investigation of ChatGPT unit test generation capability,"V Guilherme, A Vincenzi",2023,... Systematic and Automated Software Testing,Google Scholar,String A,10.1145/3624032.3624035,https://dl.acm.org/doi/abs/10.1145/3624032.3624035,"Context: Software testing ensures software quality, but developers often disregard it. The use of automated testing generation is pursued to reduce the consequences of overlooked test cases in a software project. Problem: In the context of Java programs, several tools can completely automate generating unit test sets. Additionally, studies are conducted to offer evidence regarding the quality of the generated test sets. However, it is worth noting that these tools rely on machine learning and other AI algorithms rather than incorporating the latest advancements in Large Language Models (LLMs). Solution: This work aims to evaluate the quality of Java unit tests generated by an OpenAI LLM algorithm, using metrics like code coverage and mutation test score. Method: For this study, 33 programs used by other researchers in the field of automated test generation were selected. This approach was employed to establish a baseline for comparison purposes. For each program, 33 unit test sets were generated automatically, without human interference, by changing Open AI API parameters. After executing each test set, metrics such as code line coverage, mutation score, and success rate of test execution were collected to evaluate the efficiency and effectiveness of each set. Summary of Results: Our findings revealed that the OpenAI LLM test set demonstrated similar performance across all evaluated aspects compared to traditional automated Java test generation tools used in the previous research. These results are particularly remarkable considering the simplicity of the experiment and the fact that the generated test code did not undergo human analysis.",Selected from String A; resultIndex=4; source=dl.acm.org; type=ARTICLE; cid=XA4-U9jntCwJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=An initial investigation of ChatGPT unit test generation capability
GS006,An empirical evaluation of using large language models for automated unit test generation,"M Schäfer, S Nadi, A Eghbali...",2023,IEEE Transactions on ...,Google Scholar,String A,10.1109/tse.2023.3334955,https://ieeexplore.ieee.org/abstract/document/10329992/,"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task, motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the problem by re-prompting the model with the failing test and error message. We implement our approach in TestPilot , an adaptive LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project's API. We evaluate TestPilot using OpenAI's gpt3.5-turbo LLM on 25 npm packages with a total of 1,684 API functions. The generated tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore, experiments with excluding parts of the information included in the prompts show that all components contribute towards the generation of effective test suites. We also find that 92.8% of TestPilot 's generated tests have $\leq$ 50% similarity with existing tests (as measured by normalized edit distance), with none of them being exact copies. Finally, we run TestPilot with two additional LLMs, OpenAI's older code-cushman-002 LLM and StarCoder , an LLM for which the training process is publicly documented. Overall, we observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0% median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM, but does not fundamentally depend on the specific model.",Selected from String A; resultIndex=5; source=ieeexplore.ieee.org; type=ARTICLE; cid=MJRqfKdbes0J; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation
GS007,Hits: High-coverage llm-based unit test generation via method slicing,"Z Wang, K Liu, G Li, Z Jin",2024,... /ACM International Conference on Automated ...,Google Scholar,String A,10.1145/3691620.3695501,https://dl.acm.org/doi/abs/10.1145/3691620.3695501,"Large language models (LLMs) have behaved well in generating unit tests for Java projects. However, the performance for covering the complex focal methods within the projects is poor. Complex methods comprise many conditions and loops, requiring the test cases to be various enough to cover all lines and branches. However, existing test generation methods with LLMs provide the whole method-to-test to the LLM without assistance on input analysis. The LLM has difficulty inferring the test inputs to cover all conditions, resulting in missing lines and branches. To tackle the problem, we propose decomposing the focal methods into slices and asking the LLM to generate test cases slice by slice. Our method simplifies the analysis scope, making it easier for the LLM to cover more lines and branches in each slice. We build a dataset comprising complex focal methods collected from the projects used by existing state-of-the-art approaches. Our experiment results show that our method significantly outperforms current test case generation methods with LLMs and the typical SBST method Evosuite regarding both line and branch coverage scores.",Selected from String A; resultIndex=6; source=dl.acm.org; type=ARTICLE; cid=Y1noQV6w77MJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=HITS: High-coverage LLM-based Unit Test Generation via Method Slicing
GS008,Leveraging large language models for enhancing the understandability of generated unit tests,"A Deljouyi, R Koohestani, M Izadi...",2025,2025 IEEE/ACM 47th ...,Google Scholar,String A,10.1109/icse55347.2025.00032,https://ieeexplore.ieee.org/abstract/document/11029767/,"Automated unit test generators, particularly searchbased software testing tools like EvoSuite, are capable of generating tests with high coverage. Although these generators alleviate the burden of writing unit tests, they often pose challenges for software engineers in terms of understanding the generated tests. To address this, we introduce UTGen, which combines searchbased software testing and large language models to enhance the understandability of automatically generated test cases. We achieve this enhancement through contextualizing test data, improving identifier naming, and adding descriptive comments. Through a controlled experiment with 32 participants from both academia and industry, we investigate how the understandability of unit tests affects a software engineer's ability to perform bug-fixing tasks. We selected bug-fixing to simulate a real-world scenario that emphasizes the importance of understandable test cases. We observe that participants working on assignments with UTGen test cases fix up to 33 % more bugs and use up to 20 % less time when compared to baseline test cases. From the post-test questionnaire, we gathered that participants found that enhanced test names, test data, and variable names improved their bugfixing process.",Selected from String A; resultIndex=7; source=ieeexplore.ieee.org; type=ARTICLE; cid=cewXFILLtYsJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests
GS009,On the evaluation of large language models in unit test generation,"L Yang, C Yang, S Gao, W Wang, B Wang...",2024,... on Automated Software ...,Google Scholar,String A,10.1145/3691620.3695529,https://dl.acm.org/doi/abs/10.1145/3691620.3695529,"Unit testing is an essential activity in software development for verifying the correctness of software components. However, manually writing unit tests is challenging and time-consuming. The emergence of Large Language Models (LLMs) offers a new direction for automating unit test generation. Existing research primarily focuses on closed-source LLMs (e.g., ChatGPT and CodeX) with fixed prompting strategies, leaving the capabilities of advanced open-source LLMs with various prompting settings unexplored. Particularly, open-source LLMs offer advantages in data privacy protection and have demonstrated superior performance in some tasks. Moreover, effective prompting is crucial for maximizing LLMs' capabilities. In this paper, we conduct the first empirical study to fill this gap, based on 17 Java projects, five widely-used open-source LLMs with different structures and parameter sizes, and comprehensive evaluation metrics. Our findings highlight the significant influence of various prompt factors, show the performance of open-source LLMs compared to the commercial GPT-4 and the traditional Evosuite, and identify limitations in LLM-based unit test generation. We then derive a series of implications from our study to guide future research and practical use of LLM-based unit test generation.",Selected from String A; resultIndex=8; source=dl.acm.org; type=ARTICLE; cid=xqIZ1ToJ6nkJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=On the Evaluation of Large Language Models in Unit Test Generation
GS010,Benchmarking llms for unit test generation from real-world functions,"D Huang, JM Zhang, M Harman, Q Zhang...",2025,ACM Transactions on ...,Google Scholar,String A,10.1145/3805043,https://dl.acm.org/doi/abs/10.1145/3805043,"Recently, large language models (LLMs) have shown great promise in automating unit test generation, significantly reducing the manual effort required by developers. To effectively evaluate the capabilities of LLMs in this domain, it is crucial to have a well-designed benchmark that accurately reflects real-world scenarios and mitigates common pitfalls. Existing LLM test generation benchmarks are limited by two critical drawbacks: data contamination and structurally simple function code. As a result, scientific conclusions drawn from empirical studies using these benchmarks may be compromised. The evidence presented may be biased due to contamination and may fail to generalize beyond toy programs due to structural simplicity. To address these problems, we introduce ULT (UnLeakedTestbench), a new benchmark specifically designed for function-level unit test generation from real-world Python functions. ULT is constructed through a multi-stage curation process that ensures high cyclomatic complexity and mitigates test case contamination. With 3,909 carefully selected function-level tasks, ULT provides a more realistic and challenging evaluation of LLMs' test generation capabilities. We also provide PLT (PreLeakedTestbench), a pair benchmark of ULT with leaked tests designed to enable a controlled analysis of memorization versus reasoning in test generation. Based on the two datasets, we conduct a large-scale empirical study involving 12 state-of-the-art LLMs, comparing their performance against established benchmarks. Our evaluation results demonstrate that ULT is significantly more challenging. For example, test cases generated by LLMs only achieve 41.32%, 45.10%, 30.22%, and 40.21% for accuracy, statement coverage, branch coverage, and mutation score on average for all LLMs, respectively. These results are substantially lower than the corresponding metrics on TestEval (91.79%, 92.18%, 82.04%, and 49.69%) and PLT (47.07%, 55.13%, 40.07%, and 50.80%). In addition, different from existing benchmarks, ULT shows a strong correlation between test generation performance and code generation performance. For example, the correlation coefficient between the coding ability and test generation performance ( \(Pass@1\) ) on ULT is 0.79 (p = 0.002), while it is only 0.56 (p = 0.059) and 0.52 (p = 0.080) on TestEval and PLT, respectively. This indicates that ULT more effectively measures the generalization ability of LLMs. We also make ULT and evaluation results publicly available to foster further research 1 . ULT is available at https://github.com/huangd1999/UnLeakedTestBench .",Selected from String A; resultIndex=9; source=dl.acm.org; type=ARTICLE; cid=2CLlO9dU82kJ; abstract_source=OpenAlex; openalex_match_score=1.00; openalex_title=Benchmarking LLMs for Unit Test Generation from Real-World Functions
