id,title,authors,year,venue,database,search_string,doi,url,abstract,notes
IEEE001,What Inputs Drive Effective Large Language Model-Based Unit Test Generation?,"Saarang Agarwal, Pengyu Nie, Meiyappan Nagappan",2026,IEEE Software,IEEE Xplore,String A - simplified,10.1109/ms.2025.3621625,https://doi.org/10.1109/ms.2025.3621625,,full text not checked
IEEE002,Automatic Unit Test Code Generation Using Large Language Models,"Akdeniz Kutay Öçal, Mehmet Keskinöz",2024,2024 32nd Signal Processing and Communications Applications Conference (SIU),IEEE Xplore,String A - simplified,10.1109/siu61531.2024.10600772,https://doi.org/10.1109/siu61531.2024.10600772,,full text not checked
IEEE003,Mutation-Guided Unit Test Generation With a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel Briand, Kui Liu",2026,IEEE Transactions on Software Engineering,IEEE Xplore,String A - simplified,10.1109/tse.2026.3682975,https://doi.org/10.1109/tse.2026.3682975,,full text not checked
IEEE004,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),IEEE Xplore,String A - simplified,10.1109/icse48619.2023.00085,https://doi.org/10.1109/icse48619.2023.00085,,full text not checked
IEEE005,A System for Automated Unit Test Generation using Large Language Models and Assessment of Generated Test Suites,"Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bartolini",2025,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE Xplore,String A - simplified,10.1109/icstw64639.2025.10962454,https://doi.org/10.1109/icstw64639.2025.10962454,,full text not checked
IEEE006,From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation,"Antonio Mastropaolo, Rick Kuhn, Jeffrey Voas",2025,Computer,IEEE Xplore,String A - simplified,10.1109/mc.2025.3609478,https://doi.org/10.1109/mc.2025.3609478,,full text not checked
IEEE007,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Kaisheng Zheng, Yuanyang Shen, Yida Tao",2025,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T),IEEE Xplore,String A - simplified,10.1109/cseet66350.2025.00031,https://doi.org/10.1109/cseet66350.2025.00031,,full text not checked
IEEE008,Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation,"Tharindu Godage, Sivaraj Nimishan, Shanmuganathan Vasanthapriyan, Vigneshwaran Palanisamy, Charles Joseph, Selvarajah Thuseethan",2025,2025 5th International Conference on Advanced Research in Computing (ICARC),IEEE Xplore,String A - simplified,10.1109/icarc64760.2025.10962997,https://doi.org/10.1109/icarc64760.2025.10962997,,full text not checked
IEEE009,A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,"Jianlin Long, Renchao Qin, Zujun Jiang, Jialin Duan, Suonan Li, Xiaosheng Qu",2025,"2025 18th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",IEEE Xplore,String A - simplified,10.1109/cisp-bmei68103.2025.11259411,https://doi.org/10.1109/cisp-bmei68103.2025.11259411,,full text not checked
IEEE010,Evaluation of Large Language Models for Unit Test Generation,"Metin Konuk, Cem Baglum, Ugur Yayan",2024,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),IEEE Xplore,String A - simplified,10.1109/asyu62119.2024.10756954,https://doi.org/10.1109/asyu62119.2024.10756954,,full text not checked
IEEE011,Navigating the Labyrinth: Path-Sensitive Unit Test Generation with Large Language Models,"Dianshu Liao, Xin Yin, Shidong Pan, Chao Ni, Zhenchang Xing, Xiaoyu Sun",2025,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE),IEEE Xplore,String A - simplified,10.1109/ase63991.2025.00063,https://doi.org/10.1109/ase63991.2025.00063,,full text not checked
IEEE012,Leveraging Large Language Models for Context-Aware Test Case Generation in Multi-Component Systems,Farinu Uthman Ayomide,,,IEEE Xplore,String A - simplified,10.36227/techrxiv.173687815.53512548/v1,https://doi.org/10.36227/techrxiv.173687815.53512548/v1,"The rapid evolution of software systems, particularly multi-component architectures, has intensified the need for efficient and context-aware testing solutions. Traditional methods of test case generation often struggle to account for the dynamic interdependencies between system components, which can lead to incomplete or redundant test coverage. Leveraging Large Language Models (LLMs), such as GPT-based architectures, presents a novel approach to generating context-aware test cases that better reflect real-world usage scenarios and system interactions. By fine-tuning LLMs on domain-specific knowledge and historical test data, we can enhance their ability to generate meaningful, diverse, and context-sensitive test cases. This abstract discusses a methodology for utilizing LLMs to automatically produce test cases tailored to multi-component systems, accounting for both individual component behaviors and their interactions. We highlight the benefits of this approach, such as improved test coverage, reduced manual effort, and faster development cycles, while also addressing challenges like ensuring test case quality and managing model biases. Ultimately, this research aims to establish a robust framework for integrating LLMs into the software testing lifecycle, with the goal of enhancing software reliability and reducing time-to-market for complex systems.",full text not checked
IEEE013,Large Language Models for Printed Circuit Board Test Generation,"Albin Lidbäck, Erik Larsson",2025,2025 IEEE 26th Latin American Test Symposium (LATS),IEEE Xplore,String A - simplified,10.1109/lats65346.2025.10963941,https://doi.org/10.1109/lats65346.2025.10963941,,full text not checked
IEEE014,Enhancing Diffusion-Driven Test Input Generation using Large Language Model,"Joonwoo Lee, Seungho Kim, Scott Uk-Jin Lee",2025,2025 32nd Asia-Pacific Software Engineering Conference (APSEC),IEEE Xplore,String A - simplified,10.1109/apsec66846.2025.00072,https://doi.org/10.1109/apsec66846.2025.00072,,full text not checked
