class_name,cyclomatic_complexity,raw_file_path
ANY_INT,7,data/raw/ANY_INT.java
BF,6,data/raw/BF.java
CHECK_DICT_CASE,12,data/raw/CHECK_DICT_CASE.java
CHECK_IF_LAST_CHAR_IS_A_LETTER,7,data/raw/CHECK_IF_LAST_CHAR_IS_A_LETTER.java
CLOSEST_INTEGER,6,data/raw/CLOSEST_INTEGER.java
COMMON,5,data/raw/COMMON.java
COMPARE_ONE,9,data/raw/COMPARE_ONE.java
COUNT_NUMS,7,data/raw/COUNT_NUMS.java
COUNT_UPPER,7,data/raw/COUNT_UPPER.java
COUNT_UP_TO,5,data/raw/COUNT_UP_TO.java
DOUBLE_THE_DIFFERENCE,5,data/raw/DOUBLE_THE_DIFFERENCE.java
ENCODE,14,data/raw/ENCODE.java
EVEN_ODD_PALINDROME,7,data/raw/EVEN_ODD_PALINDROME.java
EXCHANGE,6,data/raw/EXCHANGE.java
FACTORIAL,5,data/raw/FACTORIAL.java
FILE_NAME_CHECK,14,data/raw/FILE_NAME_CHECK.java
FIND_CLOSEST_ELEMENTS,5,data/raw/FIND_CLOSEST_ELEMENTS.java
FIND_ZERO,5,data/raw/FIND_ZERO.java
FIX_SPACES,9,data/raw/FIX_SPACES.java
FIZZ_BUZZ,6,data/raw/FIZZ_BUZZ.java
GET_CLOSET_VOWEL,6,data/raw/GET_CLOSET_VOWEL.java
GET_MAX_TRIPLES,6,data/raw/GET_MAX_TRIPLES.java
GET_ODD_COLLATZ,5,data/raw/GET_ODD_COLLATZ.java
GET_ROW,6,data/raw/GET_ROW.java
HEX_KEY,8,data/raw/HEX_KEY.java
HISTOGRAM,7,data/raw/HISTOGRAM.java
INTERSECTION,8,data/raw/INTERSECTION.java
IS_HAPPY,6,data/raw/IS_HAPPY.java
IS_MULTIPLY_PRIME,10,data/raw/IS_MULTIPLY_PRIME.java
IS_NESTED,6,data/raw/IS_NESTED.java
IS_SORTED,7,data/raw/IS_SORTED.java
LARGEST_PRIME_FACTOR,7,data/raw/LARGEST_PRIME_FACTOR.java
LARGEST_SMALLEST_INTEGERS,6,data/raw/LARGEST_SMALLEST_INTEGERS.java
LONGEST,5,data/raw/LONGEST.java
MAKE_PALINDROME,6,data/raw/MAKE_PALINDROME.java
MATCH_PARENS,6,data/raw/MATCH_PARENS.java
MIN_PATH,10,data/raw/MIN_PATH.java
MIN_SUBARRAY_SUM,5,data/raw/MIN_SUBARRAY_SUM.java
MOVE_ONE_BALL,8,data/raw/MOVE_ONE_BALL.java
NUMERICAL_LETTER_GRADE,14,data/raw/NUMERICAL_LETTER_GRADE.java
ORDER_BY_POINTS,8,data/raw/ORDER_BY_POINTS.java
PLUCK,5,data/raw/PLUCK.java
PRIME_FIB,7,data/raw/PRIME_FIB.java
PROD_SIGNS,6,data/raw/PROD_SIGNS.java
REMOVE_DUPLICATES,5,data/raw/REMOVE_DUPLICATES.java
REMOVE_VOWELS,7,data/raw/REMOVE_VOWELS.java
RESCALE_TO_UNIT,5,data/raw/RESCALE_TO_UNIT.java
SEARCH,7,data/raw/SEARCH.java
SELECT_WORDS,7,data/raw/SELECT_WORDS.java
SEPARATE_PAREN_GROUPS,5,data/raw/SEPARATE_PAREN_GROUPS.java
SKJKASDKD,7,data/raw/SKJKASDKD.java
SOLVE_STRING,6,data/raw/SOLVE_STRING.java
SORT_ARRAY_BINARY,8,data/raw/SORT_ARRAY_BINARY.java
SPECIAL_FILTER,5,data/raw/SPECIAL_FILTER.java
SPLIT_WORDS,6,data/raw/SPLIT_WORDS.java
STRONGEST_EXTENSION,6,data/raw/STRONGEST_EXTENSION.java
TRIPLES_SUM_TO_ZERO,5,data/raw/TRIPLES_SUM_TO_ZERO.java
UNIQUE_DIGITS,5,data/raw/UNIQUE_DIGITS.java
VALID_DATE,16,data/raw/VALID_DATE.java
VOWELS_COUNT,14,data/raw/VOWELS_COUNT.java
WILL_IT_FLY,5,data/raw/WILL_IT_FLY.java
WORDS_IN_SENTENCE,7,data/raw/WORDS_IN_SENTENCE.java
WORDS_STRINGS,6,data/raw/WORDS_STRINGS.java
