Id ,Title,Authors,Year,Venue,Database,Search String,DOI,Url
SS001,A Comprehensive Review of Learning-based Fuzz Testing Techniques,"Cheng, Hao; Li, Dongcheng; Zhao, Man; Li, Hui; Wong, W. Eric",2024,"2024 10th International Symposium on System Security, Safety, and Reliability (ISSSR)",Semantic Scholar,String A,10.1109/ISSSR61934.2024.00024,https://ieeexplore.ieee.org/document/10562114/
SS002,A Comprehensive Study on Large Language Models for Mutation Testing,"Wang, Bo; Chen, Mingda; Deng, Ming; Lin, Youfang; Harman, Mark; Papadakis, Mike; Zhang, Jie M.",2026,ACM Transactions on Software Engineering and Methodology,Semantic Scholar,String A,10.1145/3805038,https://dl.acm.org/doi/10.1145/3805038
SS003,A Cost-effective and Machine-learning-based method to identify and cluster redundant mutants in software mutation testing,"Arasteh, Bahman; Ghaffari, Ali",2024,The Journal of Supercomputing,Semantic Scholar,String A,10.1007/s11227-024-06107-8,https://link.springer.com/10.1007/s11227-024-06107-8
SS004,A Coverage-Guided Fuzzing Method for Automatic Software Vulnerability Detection Using Reinforcement Learning-Enabled Multi-Level Input Mutation,"Pham, Van-Hau; Thi Thu Hien, Do; Phuc Chuong, Nguyen; Thanh Thai, Pham; The Duy, Phan",2024,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2024.3421989,https://ieeexplore.ieee.org/document/10580893/
SS005,A DNA language model based on multispecies alignment predicts the effects of genome-wide variants,"Benegas, Gonzalo; Albors, Carlos; Aw, Alan J.; Ye, Chengzhong; Song, Yun S.",2025,Nature Biotechnology,Semantic Scholar,String A,10.1038/s41587-024-02511-w,https://www.nature.com/articles/s41587-024-02511-w
SS006,A Fine-Grained Evaluation of Mutation Operators for Deep Learning Systems: A Selective Mutation Approach,"Wang, Yichun; Zhang, Zhiyi; Yao, Yongming; Huang, Zhiqiu",2023,Proceedings of the 14th Asia-Pacific Symposium on Internetware,Semantic Scholar,String A,10.1145/3609437.3609453,https://dl.acm.org/doi/10.1145/3609437.3609453
SS007,A Model of How Students Engineer Test Cases With Feedback,"Shin, Austin M.; Kazerouni, Ayaan M.",2024,ACM Transactions on Computing Education,Semantic Scholar,String A,10.1145/3628604,https://dl.acm.org/doi/10.1145/3628604
SS008,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,"Kim, Myeongsoo; Stennett, Tyler; Sinha, Saurabh; Orso, Alessandro",2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),Semantic Scholar,String A,10.1109/ICSE55347.2025.00179,https://ieeexplore.ieee.org/document/11029879/
SS009,A Multi-Agent Framework for Stateful Inference-Time Search,"Lalan, Arshika; Ghosh, Rajat; Kolsur, Aditya; Dutta, Debojyoti",2025,,Semantic Scholar,String A,10.48550/ARXIV.2510.07147,https://arxiv.org/abs/2510.07147
SS010,A Novel Metaheuristic Based Method for Software Mutation Test Using the Discretized and Modified Forrest Optimization Algorithm,"Arasteh, Bahman; Gharehchopogh, Farhad Soleimanian; Gunes, Peri; Kiani, Farzad; Torkamanian-Afshar, Mahsa",2023,Journal of Electronic Testing,Semantic Scholar,String A,10.1007/s10836-023-06070-x,https://link.springer.com/10.1007/s10836-023-06070-x
SS011,"A Review on Tools, Mechanics, Benefits, and Challenges of Gamified Software Testing","Fulcini, Tommaso; Coppola, Riccardo; Ardito, Luca; Torchiano, Marco",2023,ACM Computing Surveys,Semantic Scholar,String A,10.1145/3582273,https://dl.acm.org/doi/10.1145/3582273
SS012,A Systematic Exploration of Mutation‐Based Fault Localization Formulae,"Wang, Bo; Wei, Jinkang; Chen, Mingda; Chen, Chong; Lin, Youfang; Zhang, Jie M.",2025,"Software Testing, Verification and Reliability",Semantic Scholar,String A,10.1002/stvr.1905,https://onlinelibrary.wiley.com/doi/10.1002/stvr.1905
SS013,Adversarial example‐based test case generation for black‐box speech recognition systems,"Cai, Hanbo; Zhang, Pengcheng; Dong, Hai; Grunske, Lars; Ji, Shunhui; Yuan, Tianhao",2023,"Software Testing, Verification and Reliability",Semantic Scholar,String A,10.1002/stvr.1848,https://onlinelibrary.wiley.com/doi/10.1002/stvr.1848
SS014,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","Kumar, Chandan; Sri Ponaka, Usha; Naidu, Pula V. Lakshmi Narasimha; Bhuvaneswari, Pyatlo; Prasad, Mukesh; Singh, Sunil Kumar",2025,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2025.3637221,https://ieeexplore.ieee.org/document/11269709/
SS015,An Automated Path-Focused Test Case Generation with Dynamic Parameterization Using Adaptive Genetic Algorithm (AGA) for Structural Program Testing,"Rajagopal, Manikandan; Sivasakthivel, Ramkumar; Loganathan, Karuppusamy; Sarris, Loannis E.",2023,Information,Semantic Scholar,String A,10.3390/info14030166,https://www.mdpi.com/2078-2489/14/3/166
SS016,An automatic software test-generation method to discover the faults using fusion of machine learning and horse herd algorithm,"Arasteh, Bahman; Arasteh, Keyvan; Ghaffari, Ali",2025,The Journal of Supercomputing,Semantic Scholar,String A,10.1007/s11227-025-07219-5,https://link.springer.com/10.1007/s11227-025-07219-5
SS017,An Empirical Study of Greedy Test Suite Minimization Techniques Using Mutation Coverage,"Jehan, Seema; Wotawa, Franz",2023,IEEE Access,Semantic Scholar,String A,10.1109/ACCESS.2023.3289073,https://ieeexplore.ieee.org/document/10160008/
SS018,An Evaluation Framework for Software Unit Tests Generated by Large Language Models,"Nguyen, Steven Thanhtan; Bharath, Smita; Homayouni, Hajar",2025,2025 IEEE 36th International Symposium on Software Reliability Engineering Workshops (ISSREW),Semantic Scholar,String A,10.1109/ISSREW67781.2025.00081,https://ieeexplore.ieee.org/document/11262355/
