timestamp,class_name,status,model,cost_usd,input_tokens,output_tokens,latency_sec,retries,error
2026-07-16T08:13:23.696142+00:00,ANY_INT,SUCCESS,gpt-4o-mini-2024-07-18,0.000480,385,704,10.92,0,
2026-07-16T08:13:35.639209+00:00,BF,SUCCESS,gpt-4o-mini-2024-07-18,0.000472,614,634,9.46,0,
2026-07-16T08:13:46.113564+00:00,CHECK_DICT_CASE,SUCCESS,gpt-4o-mini-2024-07-18,0.000528,574,737,9.78,0,
2026-07-16T08:13:56.895325+00:00,CHECK_IF_LAST_CHAR_IS_A_LETTER,SUCCESS,gpt-4o-mini-2024-07-18,0.000416,477,574,10.08,0,
2026-07-16T08:14:07.989154+00:00,CLOSEST_INTEGER,SUCCESS,gpt-4o-mini-2024-07-18,0.000424,488,585,7.46,0,
2026-07-16T08:14:16.455813+00:00,COMMON,SUCCESS,gpt-4o-mini-2024-07-18,0.000564,441,830,10.91,0,
2026-07-16T08:14:28.380412+00:00,COMPARE_ONE,SUCCESS,gpt-4o-mini-2024-07-18,0.000433,534,588,7.68,0,
2026-07-16T08:14:37.072472+00:00,COUNT_NUMS,SUCCESS,gpt-4o-mini-2024-07-18,0.000504,349,753,10.05,0,
2026-07-16T08:14:48.142153+00:00,COUNT_UP_TO,SUCCESS,gpt-4o-mini-2024-07-18,0.000444,450,627,11.16,0,
2026-07-16T08:15:00.315533+00:00,COUNT_UPPER,SUCCESS,gpt-4o-mini-2024-07-18,0.000394,351,569,8.49,0,
2026-07-16T08:15:09.822398+00:00,DOUBLE_THE_DIFFERENCE,SUCCESS,gpt-4o-mini-2024-07-18,0.000479,419,694,9.66,0,
2026-07-16T08:15:20.489334+00:00,ENCODE,SUCCESS,gpt-4o-mini-2024-07-18,0.000416,462,577,8.77,0,
2026-07-16T08:15:30.257084+00:00,EVEN_ODD_PALINDROME,SUCCESS,gpt-4o-mini-2024-07-18,0.000525,627,718,9.34,0,
2026-07-16T08:15:40.610390+00:00,EXCHANGE,SUCCESS,gpt-4o-mini-2024-07-18,0.000596,495,869,24.85,0,
2026-07-16T08:16:06.472770+00:00,FACTORIAL,SUCCESS,gpt-4o-mini-2024-07-18,0.000380,450,520,7.81,0,
2026-07-16T08:16:15.289782+00:00,FILE_NAME_CHECK,SUCCESS,gpt-4o-mini-2024-07-18,0.000439,610,579,9.18,0,
2026-07-16T08:16:25.480539+00:00,FIND_CLOSEST_ELEMENTS,SUCCESS,gpt-4o-mini-2024-07-18,0.000535,373,798,14.44,0,
2026-07-16T08:16:40.923051+00:00,FIND_ZERO,SUCCESS,gpt-4o-mini-2024-07-18,0.000636,399,960,11.95,0,
2026-07-16T08:16:53.881806+00:00,FIX_SPACES,SUCCESS,gpt-4o-mini-2024-07-18,0.000365,539,473,6.17,0,
2026-07-16T08:17:01.062606+00:00,FIZZ_BUZZ,SUCCESS,gpt-4o-mini-2024-07-18,0.000754,323,1176,15.67,0,
2026-07-16T08:17:17.739300+00:00,GET_CLOSET_VOWEL,SUCCESS,gpt-4o-mini-2024-07-18,0.000469,511,654,20.94,0,
2026-07-16T08:17:39.689268+00:00,GET_MAX_TRIPLES,SUCCESS,gpt-4o-mini-2024-07-18,0.000551,526,787,11.44,0,
2026-07-16T08:17:52.139062+00:00,GET_ODD_COLLATZ,SUCCESS,gpt-4o-mini-2024-07-18,0.000454,552,619,9.12,0,
2026-07-16T08:18:02.274663+00:00,GET_ROW,SUCCESS,gpt-4o-mini-2024-07-18,0.000658,417,993,14.35,0,
2026-07-16T08:18:17.623685+00:00,HEX_KEY,SUCCESS,gpt-4o-mini-2024-07-18,0.000382,561,496,7.92,0,
2026-07-16T08:18:26.554957+00:00,HISTOGRAM,SUCCESS,gpt-4o-mini-2024-07-18,0.000526,565,736,18.77,0,
2026-07-16T08:18:46.340730+00:00,INTERSECTION,SUCCESS,gpt-4o-mini-2024-07-18,0.000402,591,523,7.29,0,
2026-07-16T08:18:54.643324+00:00,IS_HAPPY,SUCCESS,gpt-4o-mini-2024-07-18,0.000398,420,559,8.43,0,
2026-07-16T08:19:04.075274+00:00,IS_MULTIPLY_PRIME,SUCCESS,gpt-4o-mini-2024-07-18,0.000977,448,1517,18.82,0,
2026-07-16T08:19:23.905940+00:00,IS_NESTED,SUCCESS,gpt-4o-mini-2024-07-18,0.000324,490,417,5.11,0,
2026-07-16T08:19:30.022684+00:00,IS_SORTED,SUCCESS,gpt-4o-mini-2024-07-18,0.000456,611,607,18.71,0,
2026-07-16T08:19:49.738845+00:00,LARGEST_PRIME_FACTOR,SUCCESS,gpt-4o-mini-2024-07-18,0.000453,385,659,8.32,0,
2026-07-16T08:19:59.070178+00:00,LARGEST_SMALLEST_INTEGERS,SUCCESS,gpt-4o-mini-2024-07-18,0.000579,512,837,9.58,0,
2026-07-16T08:20:09.661063+00:00,LONGEST,SUCCESS,gpt-4o-mini-2024-07-18,0.000325,287,470,7.21,0,
2026-07-16T08:20:17.873524+00:00,MAKE_PALINDROME,SUCCESS,gpt-4o-mini-2024-07-18,0.000417,378,601,8.12,0,
2026-07-16T08:20:27.006476+00:00,MATCH_PARENS,SUCCESS,gpt-4o-mini-2024-07-18,0.000411,491,563,7.90,0,
2026-07-16T08:20:35.922632+00:00,MIN_PATH,SUCCESS,gpt-4o-mini-2024-07-18,0.000555,812,722,9.37,0,
2026-07-16T08:20:46.312910+00:00,MIN_SUBARRAY_SUM,SUCCESS,gpt-4o-mini-2024-07-18,0.000465,430,668,8.81,0,
2026-07-16T08:20:56.123439+00:00,MOVE_ONE_BALL,SUCCESS,gpt-4o-mini-2024-07-18,0.000459,430,658,8.39,0,
2026-07-16T08:21:05.522536+00:00,NUMERICAL_LETTER_GRADE,SUCCESS,gpt-4o-mini-2024-07-18,0.000507,817,640,9.00,0,
2026-07-16T08:21:15.533833+00:00,ORDER_BY_POINTS,SUCCESS,gpt-4o-mini-2024-07-18,0.000549,618,761,10.79,0,
2026-07-16T08:21:27.339209+00:00,PLUCK,SUCCESS,gpt-4o-mini-2024-07-18,0.000459,600,615,7.93,0,
2026-07-16T08:21:36.273419+00:00,PRIME_FIB,SUCCESS,gpt-4o-mini-2024-07-18,0.000380,394,535,7.97,0,
2026-07-16T08:21:45.240862+00:00,PROD_SIGNS,SUCCESS,gpt-4o-mini-2024-07-18,0.000545,435,799,15.43,0,
2026-07-16T08:22:01.685340+00:00,REMOVE_DUPLICATES,SUCCESS,gpt-4o-mini-2024-07-18,0.000455,339,674,8.29,0,
2026-07-16T08:22:10.988937+00:00,REMOVE_VOWELS,SUCCESS,gpt-4o-mini-2024-07-18,0.000297,395,396,5.46,0,
2026-07-16T08:22:17.462198+00:00,RESCALE_TO_UNIT,SUCCESS,gpt-4o-mini-2024-07-18,0.000493,351,734,11.54,0,
2026-07-16T08:22:30.006380+00:00,SEARCH,SUCCESS,gpt-4o-mini-2024-07-18,0.000495,485,703,9.49,0,
2026-07-16T08:22:40.512430+00:00,SELECT_WORDS,SUCCESS,gpt-4o-mini-2024-07-18,0.000491,580,673,9.54,0,
2026-07-16T08:22:51.055523+00:00,SEPARATE_PAREN_GROUPS,SUCCESS,gpt-4o-mini-2024-07-18,0.000484,364,715,11.50,0,
2026-07-16T08:23:03.576312+00:00,SKJKASDKD,SUCCESS,gpt-4o-mini-2024-07-18,0.000706,641,1016,13.52,0,
2026-07-16T08:23:18.105568+00:00,SOLVE_STRING,SUCCESS,gpt-4o-mini-2024-07-18,0.000425,442,598,9.03,0,
2026-07-16T08:23:28.148549+00:00,SORT_ARRAY_BINARY,SUCCESS,gpt-4o-mini-2024-07-18,0.000540,598,751,9.73,0,
2026-07-16T08:23:38.892025+00:00,SPECIAL_FILTER,SUCCESS,gpt-4o-mini-2024-07-18,0.000536,447,782,10.88,0,
2026-07-16T08:23:50.788486+00:00,SPLIT_WORDS,SUCCESS,gpt-4o-mini-2024-07-18,0.000432,456,606,7.55,0,
2026-07-16T08:23:59.354858+00:00,STRONGEST_EXTENSION,SUCCESS,gpt-4o-mini-2024-07-18,0.000506,594,695,10.90,0,
2026-07-16T08:24:11.272430+00:00,TRIPLES_SUM_TO_ZERO,SUCCESS,gpt-4o-mini-2024-07-18,0.000465,457,661,8.53,0,
2026-07-16T08:24:20.821850+00:00,UNIQUE_DIGITS,SUCCESS,gpt-4o-mini-2024-07-18,0.000499,435,723,9.17,0,
2026-07-16T08:24:31.003246+00:00,VALID_DATE,SUCCESS,gpt-4o-mini-2024-07-18,0.000456,721,580,7.01,0,
2026-07-16T08:24:39.022918+00:00,VOWELS_COUNT,SUCCESS,gpt-4o-mini-2024-07-18,0.000481,453,688,9.36,0,
2026-07-16T08:24:49.401215+00:00,WILL_IT_FLY,SUCCESS,gpt-4o-mini-2024-07-18,0.000578,527,832,12.16,0,
2026-07-16T08:25:02.558277+00:00,WORDS_IN_SENTENCE,SUCCESS,gpt-4o-mini-2024-07-18,0.000670,454,1004,13.21,0,
2026-07-16T08:25:16.775150+00:00,WORDS_STRINGS,SUCCESS,gpt-4o-mini-2024-07-18,0.000488,440,703,18.74,0,
