timestamp,class_name,status,model,cost_usd,input_tokens,output_tokens,latency_sec,retries,initial_failures,error
2026-07-16T08:27:14.462288+00:00,COUNT_UP_TO,REPAIRED,gpt-4o-mini-2024-07-18,0.000584,1206,672,12.66,0,1,
2026-07-16T08:27:27.122839+00:00,LARGEST_PRIME_FACTOR,REPAIRED,gpt-4o-mini-2024-07-18,0.000563,1209,636,9.03,0,1,
2026-07-16T08:30:03.111782+00:00,ANY_INT,REPAIRED,gpt-4o-mini-2024-07-18,0.000620,1196,734,10.85,0,4,
2026-07-16T08:30:13.956069+00:00,BF,REPAIRED,gpt-4o-mini-2024-07-18,0.000620,1339,699,9.71,0,1,
2026-07-16T08:30:23.678893+00:00,CHECK_IF_LAST_CHAR_IS_A_LETTER,REPAIRED,gpt-4o-mini-2024-07-18,0.000548,1100,639,12.28,0,1,
2026-07-16T08:30:35.961720+00:00,CLOSEST_INTEGER,REPAIRED,gpt-4o-mini-2024-07-18,0.000570,1198,650,8.48,0,2,
2026-07-16T08:30:44.440592+00:00,COMPARE_ONE,REPAIRED,gpt-4o-mini-2024-07-18,0.000593,1320,658,7.48,0,3,
2026-07-16T08:30:51.917874+00:00,COUNT_NUMS,REPAIRED,gpt-4o-mini-2024-07-18,0.000722,1543,818,10.97,0,7,
2026-07-16T08:31:02.888284+00:00,COUNT_UPPER,REPAIRED,gpt-4o-mini-2024-07-18,0.000575,1199,659,8.76,0,4,
2026-07-16T08:31:11.649094+00:00,DOUBLE_THE_DIFFERENCE,REPAIRED,gpt-4o-mini-2024-07-18,0.000621,1164,744,11.55,0,1,
2026-07-16T08:31:23.198948+00:00,ENCODE,REPAIRED,gpt-4o-mini-2024-07-18,0.000613,1580,627,8.63,0,7,
2026-07-16T08:31:31.831248+00:00,EVEN_ODD_PALINDROME,REPAIRED,gpt-4o-mini-2024-07-18,0.000659,1383,753,12.38,0,1,
2026-07-16T08:31:44.214251+00:00,FACTORIAL,REPAIRED,gpt-4o-mini-2024-07-18,0.000518,1192,565,8.55,0,2,
2026-07-16T08:31:52.768079+00:00,FILE_NAME_CHECK,REPAIRED,gpt-4o-mini-2024-07-18,0.000595,1328,659,9.56,0,2,
2026-07-16T08:32:02.334109+00:00,FIND_CLOSEST_ELEMENTS,REPAIRED,gpt-4o-mini-2024-07-18,0.000708,1306,854,11.06,0,1,
2026-07-16T08:32:13.397629+00:00,FIND_ZERO,REPAIRED,gpt-4o-mini-2024-07-18,0.000859,1670,1014,13.13,0,5,
2026-07-16T08:32:26.526387+00:00,FIX_SPACES,REPAIRED,gpt-4o-mini-2024-07-18,0.000489,1090,543,29.22,0,1,
2026-07-16T08:32:55.739192+00:00,FIZZ_BUZZ,REPAIRED,gpt-4o-mini-2024-07-18,0.001216,2884,1306,17.52,0,21,
2026-07-16T08:33:13.270998+00:00,GET_CLOSET_VOWEL,REPAIRED,gpt-4o-mini-2024-07-18,0.000639,1362,725,8.42,0,3,
2026-07-16T08:33:21.690174+00:00,GET_MAX_TRIPLES,REPAIRED,gpt-4o-mini-2024-07-18,0.000881,2323,887,11.27,0,15,
2026-07-16T08:33:32.956451+00:00,GET_ODD_COLLATZ,REPAIRED,gpt-4o-mini-2024-07-18,0.000641,1563,678,9.38,0,4,
2026-07-16T08:33:42.348494+00:00,GET_ROW,REPAIRED,gpt-4o-mini-2024-07-18,0.000899,1804,1048,12.91,0,2,
2026-07-16T08:33:55.260624+00:00,HEX_KEY,REPAIRED,gpt-4o-mini-2024-07-18,0.000509,1249,536,7.53,0,4,
2026-07-16T08:34:02.789117+00:00,HISTOGRAM,REPAIRED,gpt-4o-mini-2024-07-18,0.000681,1417,780,11.15,0,2,
2026-07-16T08:34:13.941896+00:00,INTERSECTION,REPAIRED,gpt-4o-mini-2024-07-18,0.000520,1133,584,8.23,0,1,
2026-07-16T08:34:22.177533+00:00,IS_HAPPY,REPAIRED,gpt-4o-mini-2024-07-18,0.000551,1115,639,18.72,0,3,
2026-07-16T08:34:40.898959+00:00,IS_MULTIPLY_PRIME,REPAIRED,gpt-4o-mini-2024-07-18,0.001372,2398,1687,21.29,0,7,
2026-07-16T08:35:02.190530+00:00,IS_NESTED,REPAIRED,gpt-4o-mini-2024-07-18,0.000422,966,462,6.02,0,2,
2026-07-16T08:35:08.211805+00:00,IS_SORTED,REPAIRED,gpt-4o-mini-2024-07-18,0.000615,1337,691,8.56,0,4,
2026-07-16T08:35:16.774400+00:00,LONGEST,REPAIRED,gpt-4o-mini-2024-07-18,0.000447,938,511,7.90,0,3,
2026-07-16T08:35:24.677285+00:00,MAKE_PALINDROME,REPAIRED,gpt-4o-mini-2024-07-18,0.000598,1284,676,8.75,0,3,
2026-07-16T08:35:33.430539+00:00,MATCH_PARENS,REPAIRED,gpt-4o-mini-2024-07-18,0.000545,1260,593,8.46,0,4,
2026-07-16T08:35:41.891018+00:00,MIN_PATH,REPAIRED,gpt-4o-mini-2024-07-18,0.000741,1872,767,13.96,0,3,
2026-07-16T08:35:55.851392+00:00,MIN_SUBARRAY_SUM,REPAIRED,gpt-4o-mini-2024-07-18,0.000622,1164,745,11.57,0,1,
2026-07-16T08:36:07.426623+00:00,MOVE_ONE_BALL,REPAIRED,gpt-4o-mini-2024-07-18,0.000601,1157,713,14.87,0,2,
2026-07-16T08:36:22.295108+00:00,NUMERICAL_LETTER_GRADE,REPAIRED,gpt-4o-mini-2024-07-18,0.000635,1552,670,10.76,0,1,
2026-07-16T08:36:33.057258+00:00,ORDER_BY_POINTS,REPAIRED,gpt-4o-mini-2024-07-18,0.000793,2021,816,8.60,0,5,
2026-07-16T08:36:41.661423+00:00,PRIME_FIB,REPAIRED,gpt-4o-mini-2024-07-18,0.000530,1069,616,13.77,0,2,
2026-07-16T08:36:55.433917+00:00,PROD_SIGNS,REPAIRED,gpt-4o-mini-2024-07-18,0.000714,1345,854,15.47,0,2,
2026-07-16T08:37:10.908610+00:00,REMOVE_VOWELS,REPAIRED,gpt-4o-mini-2024-07-18,0.000395,850,446,7.08,0,1,
2026-07-16T08:37:17.994708+00:00,RESCALE_TO_UNIT,REPAIRED,gpt-4o-mini-2024-07-18,0.000738,1713,801,17.36,0,5,
2026-07-16T08:37:35.360625+00:00,SEARCH,REPAIRED,gpt-4o-mini-2024-07-18,0.000646,1404,726,8.65,0,4,
2026-07-16T08:37:44.012092+00:00,SELECT_WORDS,REPAIRED,gpt-4o-mini-2024-07-18,0.000677,1353,790,12.83,0,2,
2026-07-16T08:37:56.836175+00:00,SEPARATE_PAREN_GROUPS,REPAIRED,gpt-4o-mini-2024-07-18,0.000680,1407,781,12.58,0,4,
2026-07-16T08:38:09.428418+00:00,SKJKASDKD,REPAIRED,gpt-4o-mini-2024-07-18,0.000899,1708,1071,15.03,0,1,
2026-07-16T08:38:24.457003+00:00,SOLVE_STRING,REPAIRED,gpt-4o-mini-2024-07-18,0.000573,1131,673,8.48,0,1,
2026-07-16T08:38:32.945455+00:00,SORT_ARRAY_BINARY,REPAIRED,gpt-4o-mini-2024-07-18,0.000729,1676,796,12.57,0,3,
2026-07-16T08:38:45.514048+00:00,SPECIAL_FILTER,REPAIRED,gpt-4o-mini-2024-07-18,0.000710,1342,848,10.64,0,2,
2026-07-16T08:38:56.156519+00:00,SPLIT_WORDS,REPAIRED,gpt-4o-mini-2024-07-18,0.000681,1928,653,8.89,0,6,
2026-07-16T08:39:05.049838+00:00,UNIQUE_DIGITS,REPAIRED,gpt-4o-mini-2024-07-18,0.000660,1310,773,9.27,0,2,
2026-07-16T08:39:14.326955+00:00,VALID_DATE,REPAIRED,gpt-4o-mini-2024-07-18,0.000576,1317,630,10.49,0,1,
2026-07-16T08:39:24.821312+00:00,VOWELS_COUNT,REPAIRED,gpt-4o-mini-2024-07-18,0.000694,1460,791,9.84,0,5,
2026-07-16T08:39:34.675071+00:00,WILL_IT_FLY,REPAIRED,gpt-4o-mini-2024-07-18,0.000803,1645,927,12.86,0,6,
2026-07-16T08:39:47.531372+00:00,WORDS_IN_SENTENCE,REPAIRED,gpt-4o-mini-2024-07-18,0.001039,2510,1104,14.36,0,15,
2026-07-16T08:40:01.897066+00:00,WORDS_STRINGS,REPAIRED,gpt-4o-mini-2024-07-18,0.000644,1282,753,17.21,0,2,
