class_name,tool,budget_min,execution_status,branch_covered,branch_total,branch_coverage_pct,mutation_killed,mutation_total,mutation_score_pct,mutation_technical_exclusion,measurement_timestamp
ANY_INT,EvoSuite,3,PASS,12,12,100.000000,9,11,81.818182,0,2026-07-16T09:20:25.539917+00:00
BF,EvoSuite,3,PASS,10,10,100.000000,13,14,92.857143,0,2026-07-16T09:20:25.539917+00:00
CHECK_DICT_CASE,EvoSuite,3,PASS,24,24,100.000000,13,13,100.000000,0,2026-07-16T09:20:25.539917+00:00
CHECK_IF_LAST_CHAR_IS_A_LETTER,EvoSuite,3,PASS,14,14,100.000000,13,13,100.000000,0,2026-07-16T09:20:25.539917+00:00
CLOSEST_INTEGER,EvoSuite,3,PASS,11,12,91.666667,9,14,64.285714,0,2026-07-16T09:20:25.539917+00:00
COMMON,EvoSuite,3,PASS,8,8,100.000000,8,9,88.888889,0,2026-07-16T09:20:25.539917+00:00
COMPARE_ONE,EvoSuite,3,PASS,16,16,100.000000,10,11,90.909091,0,2026-07-16T09:20:25.539917+00:00
COUNT_NUMS,EvoSuite,3,PASS,14,14,100.000000,14,17,82.352941,0,2026-07-16T09:20:25.539917+00:00
COUNT_UP_TO,EvoSuite,3,PASS,8,8,100.000000,2,10,20.000000,0,2026-07-16T09:20:25.539917+00:00
COUNT_UPPER,EvoSuite,3,PASS,12,12,100.000000,10,10,100.000000,0,2026-07-16T09:20:25.539917+00:00
DOUBLE_THE_DIFFERENCE,EvoSuite,3,PASS,7,8,87.500000,7,8,87.500000,0,2026-07-16T09:20:25.539917+00:00
ENCODE,EvoSuite,3,PASS,26,26,100.000000,14,14,100.000000,0,2026-07-16T09:20:25.539917+00:00
EVEN_ODD_PALINDROME,EvoSuite,3,PASS,12,12,100.000000,5,19,26.315789,0,2026-07-16T09:20:25.539917+00:00
EXCHANGE,EvoSuite,3,PASS,10,10,100.000000,9,10,90.000000,0,2026-07-16T09:20:25.539917+00:00
FACTORIAL,EvoSuite,3,PASS,8,8,100.000000,4,14,28.571429,0,2026-07-16T09:20:25.539917+00:00
