class_name,tool,budget_min,execution_status,branch_covered,branch_total,branch_coverage_pct,mutation_killed,mutation_total,mutation_score_pct,mutation_technical_exclusion,measurement_timestamp
ANY_INT,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,11,0.000000,0,2026-07-16T08:45:02.389955+00:00
BF,GPT,0,FAIL_ASSERTION,0,10,0.000000,0,14,0.000000,0,2026-07-16T08:45:02.389955+00:00
CHECK_DICT_CASE,GPT,0,PASS,23,24,95.833333,13,13,100.000000,0,2026-07-16T08:45:02.389955+00:00
CHECK_IF_LAST_CHAR_IS_A_LETTER,GPT,0,PASS,12,14,85.714286,12,13,92.307692,0,2026-07-16T08:45:02.389955+00:00
CLOSEST_INTEGER,GPT,0,PASS,11,12,91.666667,10,14,71.428571,0,2026-07-16T08:45:02.389955+00:00
COMMON,GPT,0,PASS,8,8,100.000000,8,9,88.888889,0,2026-07-16T08:45:02.389955+00:00
COMPARE_ONE,GPT,0,FAIL_ASSERTION,0,16,0.000000,0,11,0.000000,0,2026-07-16T08:45:02.389955+00:00
COUNT_NUMS,GPT,0,FAIL_ASSERTION,0,14,0.000000,0,17,0.000000,0,2026-07-16T08:45:02.389955+00:00
COUNT_UP_TO,GPT,0,PASS,8,8,100.000000,10,10,100.000000,0,2026-07-16T08:45:02.389955+00:00
COUNT_UPPER,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,10,0.000000,0,2026-07-16T08:45:02.389955+00:00
DOUBLE_THE_DIFFERENCE,GPT,0,FAIL_ASSERTION,0,8,0.000000,0,8,0.000000,0,2026-07-16T08:45:02.389955+00:00
ENCODE,GPT,0,FAIL_ASSERTION,0,26,0.000000,0,14,0.000000,0,2026-07-16T08:45:02.389955+00:00
EVEN_ODD_PALINDROME,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,19,0.000000,0,2026-07-16T08:45:02.389955+00:00
EXCHANGE,GPT,0,PASS,10,10,100.000000,10,10,100.000000,0,2026-07-16T08:45:02.389955+00:00
FACTORIAL,GPT,0,FAIL_ASSERTION,0,8,0.000000,0,14,0.000000,0,2026-07-16T08:45:02.389955+00:00
FILE_NAME_CHECK,GPT,0,FAIL_ASSERTION,0,26,0.000000,0,26,0.000000,0,2026-07-16T08:45:02.389955+00:00
FIND_CLOSEST_ELEMENTS,GPT,0,PASS,8,8,100.000000,10,12,83.333333,0,2026-07-16T08:45:02.389955+00:00
FIND_ZERO,GPT,0,FAIL_COMPILE,0,8,0.000000,0,0,0.000000,1,2026-07-16T08:45:02.389955+00:00
FIX_SPACES,GPT,0,FAIL_ASSERTION,0,16,0.000000,0,29,0.000000,0,2026-07-16T08:45:02.389955+00:00
FIZZ_BUZZ,GPT,0,FAIL_ASSERTION,0,10,0.000000,0,14,0.000000,0,2026-07-16T08:45:02.389955+00:00
GET_CLOSET_VOWEL,GPT,0,FAIL_ASSERTION,0,10,0.000000,0,13,0.000000,0,2026-07-16T08:45:02.389955+00:00
GET_MAX_TRIPLES,GPT,0,PASS,10,10,100.000000,21,26,80.769231,0,2026-07-16T08:45:02.389955+00:00
GET_ODD_COLLATZ,GPT,0,FAIL_ASSERTION,0,8,0.000000,0,13,0.000000,0,2026-07-16T08:45:02.389955+00:00
GET_ROW,GPT,0,FAIL_ASSERTION,0,6,0.000000,0,9,0.000000,0,2026-07-16T08:45:02.389955+00:00
HEX_KEY,GPT,0,FAIL_ASSERTION,0,14,0.000000,0,8,0.000000,0,2026-07-16T08:45:02.389955+00:00
HISTOGRAM,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,19,0.000000,0,2026-07-16T08:45:02.389955+00:00
INTERSECTION,GPT,0,FAIL_ASSERTION,0,14,0.000000,0,18,0.000000,0,2026-07-16T08:45:02.389955+00:00
IS_HAPPY,GPT,0,FAIL_ASSERTION,0,10,0.000000,0,16,0.000000,0,2026-07-16T08:45:02.389955+00:00
IS_MULTIPLY_PRIME,GPT,0,FAIL_ASSERTION,0,18,0.000000,0,0,0.000000,1,2026-07-16T08:45:02.389955+00:00
IS_NESTED,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,13,0.000000,0,2026-07-16T08:45:02.389955+00:00
IS_SORTED,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,19,0.000000,0,2026-07-16T08:45:02.389955+00:00
LARGEST_PRIME_FACTOR,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,17,0.000000,0,2026-07-16T08:45:02.389955+00:00
LARGEST_SMALLEST_INTEGERS,GPT,0,PASS,10,10,100.000000,10,10,100.000000,0,2026-07-16T08:45:02.389955+00:00
LONGEST,GPT,0,FAIL_ASSERTION,0,8,0.000000,0,5,0.000000,0,2026-07-16T08:45:02.389955+00:00
MAKE_PALINDROME,GPT,0,FAIL_ASSERTION,0,10,0.000000,0,15,0.000000,0,2026-07-16T08:45:02.389955+00:00
MATCH_PARENS,GPT,0,FAIL_ASSERTION,0,12,0.000000,0,14,0.000000,0,2026-07-16T08:45:02.389955+00:00
MIN_PATH,GPT,0,FAIL_ASSERTION,0,18,0.000000,0,25,0.000000,0,2026-07-16T08:45:02.389955+00:00
MIN_SUBARRAY_SUM,GPT,0,FAIL_COMPILE,0,8,0.000000,0,11,0.000000,0,2026-07-16T08:45:02.389955+00:00
MOVE_ONE_BALL,GPT,0,FAIL_ASSERTION,0,14,0.000000,0,17,0.000000,0,2026-07-16T08:45:02.389955+00:00
NUMERICAL_LETTER_GRADE,GPT,0,FAIL_ASSERTION,0,26,0.000000,0,26,0.000000,0,2026-07-16T08:45:02.389955+00:00
ORDER_BY_POINTS,GPT,0,FAIL_ASSERTION,0,14,0.000000,0,21,0.000000,0,2026-07-16T08:45:02.389955+00:00
PLUCK,GPT,0,PASS,8,8,100.000000,10,10,100.000000,0,2026-07-16T08:45:02.389955+00:00
