rq,analysis,status,n,statistic,p_raw,p_adjusted,effect_size,gpt_value,comparator_value,delta_pp,conclusion,notes
RQ1,One-sample Wilcoxon: GPT branch coverage > 30.22%,TESTED,63,791.000,0.94296701,,-0.215278,18.897638,30.22,-11.322362,NOT_SUPPORTED,All 63 SUT rows; non-executable suites retain measured coverage (normally zero).
RQ2_floor,One-sample Wilcoxon: GPT mutation score > 4.00%,TESTED,60,702.000,0.95244679,,-0.232787,16.206483,4.00,12.206483,NOT_SUPPORTED,Three technical mutation exclusions are omitted from the Wilcoxon sample.
RQ2_target,One-sample Wilcoxon: GPT mutation score > 40.21%,TESTED,60,561.000,0.99723076,,-0.386885,16.206483,40.21,-24.003517,NOT_SUPPORTED,Three technical mutation exclusions are omitted from the Wilcoxon sample.
RQ4,Exact binomial: dual-success rate > 50%,TESTED,63,13,0.99999963,,,20.634921,50.00,-29.365079,NOT_SUPPORTED,Dual success requires PASS plus BC >= 30.22% and MS >= 4.00%.
RQ3_1m_branch,Paired Wilcoxon: GPT vs archived EvoSuite 1-minute branch,TESTED,14,0.000,0.17971249,0.89856247,-1.000000,98.086735,99.404762,-1.318027,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 14 SUTs passing in both tools; 2 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
RQ3_1m_mutation,Paired Wilcoxon: GPT vs archived EvoSuite 1-minute mutation,TESTED,13,6.500,0.20408418,0.89856247,0.535714,88.209824,79.136846,9.072978,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 13 SUTs passing in both tools; 7 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
RQ3_3m_branch,Paired Wilcoxon: GPT vs archived EvoSuite 3-minute branch,TESTED,14,0.000,0.17971249,0.89856247,-1.000000,98.086735,99.404762,-1.318027,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 14 SUTs passing in both tools; 2 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
RQ3_3m_mutation,Paired Wilcoxon: GPT vs archived EvoSuite 3-minute mutation,TESTED,13,7.000,0.23672357,0.89856247,0.500000,88.209824,78.202780,10.007044,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 13 SUTs passing in both tools; 7 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
RQ3_5m_branch,Paired Wilcoxon: GPT vs archived EvoSuite 5-minute branch,TESTED,14,0.000,0.17971249,0.89856247,-1.000000,98.086735,99.404762,-1.318027,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 14 SUTs passing in both tools; 2 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
RQ3_5m_mutation,Paired Wilcoxon: GPT vs archived EvoSuite 5-minute mutation,TESTED,13,3.000,0.06250892,0.37505350,0.785714,88.209824,82.403964,5.805861,NO_SIGNIFICANT_DIFFERENCE,Two-sided paired Wilcoxon on 13 SUTs passing in both tools; 7 non-zero differences were ranked. Three technical mutation exclusions are omitted for mutation.
