id,title,authors,year,venue,database,search_string,doi,url,v1_decision,v1_reason
IEEE001,What Inputs Drive Effective Large Language Model-Based Unit Test Generation?,"Saarang Agarwal, Pengyu Nie, Meiyappan Nagappan",2026.0,IEEE Software,IEEE Xplore,String A - simplified,10.1109/ms.2025.3621625,https://doi.org/10.1109/ms.2025.3621625,INCLUDE,Pass Initial Title/Abstract Screen
IEEE002,Automatic Unit Test Code Generation Using Large Language Models,"Akdeniz Kutay Öçal, Mehmet Keskinöz",2024.0,2024 32nd Signal Processing and Communications Applications Conference (SIU),IEEE Xplore,String A - simplified,10.1109/siu61531.2024.10600772,https://doi.org/10.1109/siu61531.2024.10600772,INCLUDE,Pass Initial Title/Abstract Screen
IEEE003,Mutation-Guided Unit Test Generation With a Large Language Model,"Guancheng Wang, Qinghua Xu, Lionel Briand, Kui Liu",2026.0,IEEE Transactions on Software Engineering,IEEE Xplore,String A - simplified,10.1109/tse.2026.3682975,https://doi.org/10.1109/tse.2026.3682975,INCLUDE,Pass Initial Title/Abstract Screen
IEEE004,CodaMosa: Escaping Coverage Plateaus in Test Generation with Pre-trained Large Language Models,"Caroline Lemieux, Jeevana Priya Inala, Shuvendu K. Lahiri, Siddhartha Sen",2023.0,2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE),IEEE Xplore,String A - simplified,10.1109/icse48619.2023.00085,https://doi.org/10.1109/icse48619.2023.00085,INCLUDE,Pass Initial Title/Abstract Screen
IEEE005,A System for Automated Unit Test Generation using Large Language Models and Assessment of Generated Test Suites,"Andrea Lops, Fedelucio Narducci, Azzurra Ragone, Michelantonio Trizio, Claudio Bartolini",2025.0,"2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)",IEEE Xplore,String A - simplified,10.1109/icstw64639.2025.10962454,https://doi.org/10.1109/icstw64639.2025.10962454,INCLUDE,Pass Initial Title/Abstract Screen
IEEE006,From Heuristics to Intelligence: Large Language Model-Driven Test Case Generation,"Antonio Mastropaolo, Rick Kuhn, Jeffrey Voas",2025.0,Computer,IEEE Xplore,String A - simplified,10.1109/mc.2025.3609478,https://doi.org/10.1109/mc.2025.3609478,INCLUDE,Pass Initial Title/Abstract Screen
IEEE007,Automatic Unit Test Generation for Programming Assignments Using Large Language Models,"Kaisheng Zheng, Yuanyang Shen, Yida Tao",2025.0,2025 IEEE/ACM 37th International Conference on Software Engineering Education and Training (CSEE&amp;T),IEEE Xplore,String A - simplified,10.1109/cseet66350.2025.00031,https://doi.org/10.1109/cseet66350.2025.00031,INCLUDE,Pass Initial Title/Abstract Screen
IEEE008,Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation,"Tharindu Godage, Sivaraj Nimishan, Shanmuganathan Vasanthapriyan, Vigneshwaran Palanisamy, Charles Joseph, Selvarajah Thuseethan",2025.0,2025 5th International Conference on Advanced Research in Computing (ICARC),IEEE Xplore,String A - simplified,10.1109/icarc64760.2025.10962997,https://doi.org/10.1109/icarc64760.2025.10962997,INCLUDE,Pass Initial Title/Abstract Screen
IEEE009,A Python Unit Test Generation Method Based on Fine-Tuned Language Models and Coverage,"Jianlin Long, Renchao Qin, Zujun Jiang, Jialin Duan, Suonan Li, Xiaosheng Qu",2025.0,"2025 18th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",IEEE Xplore,String A - simplified,10.1109/cisp-bmei68103.2025.11259411,https://doi.org/10.1109/cisp-bmei68103.2025.11259411,INCLUDE,Pass Initial Title/Abstract Screen
IEEE010,Evaluation of Large Language Models for Unit Test Generation,"Metin Konuk, Cem Baglum, Ugur Yayan",2024.0,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),IEEE Xplore,String A - simplified,10.1109/asyu62119.2024.10756954,https://doi.org/10.1109/asyu62119.2024.10756954,INCLUDE,Pass Initial Title/Abstract Screen
